County,Alfa Romeo Tonale,Audi A3 Plug In,Audi A7 Plug In,Audi A8 Plug In,Audi Q4 Sportback e-tron,Audi Q4 e-tron,Audi Q5 Plug In,Audi Q8 Sportback e-tron,Audi Q8 e-tron,Audi RS e-tron GT,Audi e-tron,Audi e-tron GT,Audi e-tron Sportback,BMW 3-Series Plug in,BMW 5-Series Plug in,BMW 7-Series Plug in,BMW X3,BMW X5,BMW XM,BMW i3,BMW i3 REx,BMW i4,BMW i5,BMW i7,BMW i8,BMW iX,BYD 8TT,Bentley Bentayga Hybrid,Bentley Flying Spur Hybrid,BrightDrop EV600,Cadillac CT6,Cadillac ELR,Cadillac Lyriq,Chevrolet Blazer EV,Chevrolet Bolt EUV,Chevrolet Bolt EV,Chevrolet Silverado EV,Chevrolet Spark,Chevrolet Volt,Chrysler Pacifica,Coda EV,Dodge Hornet,E-Ride EXV,Ferrari SF90 Stradale,Fiat 500e,Fisker Karma,Fisker Ocean,Ford C-Max Energi,Ford E-Transit,Ford Escape Plug-in Hybrid,Ford F-150 Lightning,Ford Focus EV,Ford Fusion Energi,Ford Mustang Mach-E,Ford Ranger,Ford Think Neighbor,Freightliner eCascadia,GEM NEV,GMC Hummer EV Pickup,GMC Hummer EV SUV,GMC Sierra EV,Genesis G80 EV,Genesis GV60 EV,Genesis GV70 EV,Gillig Battery Electric Bus,GreenPower EV Star,Honda Accord Plug In,Honda Clarity Plug In,Hyundai Ioniq 5,Hyundai Ioniq 6,Hyundai Ioniq EV,Hyundai Ioniq Plug In,Hyundai Kona Electric,Hyundai Santa Fe Plug In,Hyundai Sonata Plug In,Hyundai Tucson Plug In,IC Bus CE Electric Bus,International MV60E,Jaguar I-PACE,Jaguar I-Pace,Jeep Grand Cherokee Plug In,Jeep Wrangler 4xe,Karma Revero,Kia EV6,Kia EV9,Kia Niro EV,Kia Niro Plug In,Kia Optima Plug In,Kia Sorento Plug In,Kia Soul EV,Kia Sportage Plug-In,Land Rover Range Rover Plug In,Lexus NX 450h+,Lexus RZ 450e,Lexus TX 500h,Lincoln Aviator Plug In,Lincoln Corsair,Lion LionC Bus,Lucid Air,Mazda CX-90,Mazda MX-30,Mclaren P1,Mercedes B-Class Electric,Mercedes C350e Plug In,Mercedes EQB,Mercedes EQE,Mercedes EQE SUV,Mercedes EQS,Mercedes EQS SUV,Mercedes GLC 350e Hybrid,Mercedes GLE 450e,Mercedes GLE55e,Mercedes S550e,Mercedes S560e,Mercedes S580e,Miles ZX40ST,Mini Cooper SE Countryman,Mini Cooper SE Hardtop 2 Door,Mitsubishi Outlander Plug In,Mitsubishi i,New Flyer Xcelsior CHARGE,Nissan Ariya,Nissan Leaf,Peterbilt 220EV,Peterbilt 579EV,Polestar 1,Polestar 2,Porsche 918 Spyder,Porsche Cayenne S E-Hybrid,Porsche Panamera S E-Hybrid,Porsche Panamera Turbo S E-Hybrid,Porsche Taycan,Rivian EDV,Rivian R1S,Rivian R1T,Rolls Royce Spectre,Smart EQ ForTwo,Smart forTwo EV,Smart forTwo EV Cabrio,Smith EV,Subaru Crosstrek Hybrid,Subaru Solterra,Tesla Cybertruck,Tesla Model 3,Tesla Model S,Tesla Model X,Tesla Model Y,Tesla Roadster,Tesla Semi,Toyota BZ4X,Toyota Prius Plug-in,Toyota Prius Prime,Toyota RAV4 EV,Toyota RAV4 Prime,VinFast VF 8,Volkswagen ID.4,Volkswagen e-Golf,Volvo C40 Recharge,Volvo S60 Plug In,Volvo S90 Plug In,Volvo Trucks VNR Electric Truck,Volvo V60 Plug In,Volvo XC40 Recharge,Volvo XC60 Plug-In,Volvo XC90 Plug-In,Wheego Life,Xos MDXT,Xos SV,Grand Total
Chambers,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,,,2.0,,,,,,,,1.0,2.0,,5.0,,,2.0,3.0,,,,,,,1.0,1.0,,1.0,10.0,,1.0,4.0,,,,,,1.0,,,,,,,,3.0,2.0,3.0,,,1.0,,,,,,,,4.0,8.0,,2.0,,1.0,,,1.0,,,,,,,3.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,3.0,,2.0,,,,,,,,,4.0,68.0,15.0,4.0,47.0,,,1.0,,,,1.0,,2.0,,,,,,,2.0,,,,,,220.0
Cherokee,,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,,1.0,1.0,,,,,,,,3.0,1.0,,4.0,,,8.0,7.0,,,,,1.0,,,,,,3.0,,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,1.0,1.0,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,3.0,17.0,5.0,3.0,14.0,,,,,4.0,,,,,,,,,,,,1.0,1.0,,,,100.0
Childress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,8.0
Clay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,18.0
Coke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0
Coleman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,7.0
Collin,7.0,10.0,6.0,1.0,16.0,86.0,68.0,2.0,87.0,7.0,170.0,60.0,59.0,133.0,175.0,13.0,31.0,279.0,7.0,57.0,80.0,292.0,45.0,27.0,42.0,190.0,,2.0,2.0,,3.0,4.0,263.0,51.0,178.0,221.0,3.0,11.0,324.0,335.0,,2.0,,1.0,40.0,5.0,31.0,55.0,34.0,39.0,186.0,14.0,156.0,576.0,,1.0,,6.0,33.0,47.0,1.0,4.0,34.0,20.0,,,2.0,125.0,169.0,99.0,8.0,9.0,27.0,5.0,5.0,4.0,,,2.0,24.0,107.0,396.0,3.0,199.0,91.0,76.0,43.0,3.0,45.0,9.0,37.0,14.0,42.0,32.0,5.0,57.0,15.0,,111.0,72.0,1.0,,7.0,9.0,117.0,57.0,92.0,182.0,4.0,19.0,57.0,4.0,7.0,1.0,1.0,,12.0,32.0,58.0,9.0,,98.0,384.0,,,,90.0,,95.0,55.0,,222.0,296.0,257.0,142.0,3.0,,11.0,,,4.0,52.0,182.0,6981.0,1528.0,1310.0,10390.0,6.0,,46.0,57.0,234.0,2.0,137.0,4.0,325.0,18.0,36.0,29.0,4.0,,3.0,67.0,121.0,245.0,,,,30571.0
Collingsworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0
Colorado,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,1.0,,,7.0,,3.0,2.0,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,2.0,,,,,,,,1.0,10.0,4.0,3.0,11.0,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,70.0
Comal,,3.0,,,2.0,10.0,13.0,1.0,17.0,,10.0,12.0,8.0,12.0,14.0,1.0,1.0,27.0,,10.0,6.0,13.0,4.0,,1.0,3.0,,,,,2.0,2.0,21.0,3.0,22.0,43.0,,2.0,41.0,53.0,,2.0,,,1.0,1.0,2.0,12.0,1.0,6.0,48.0,,23.0,75.0,,,,1.0,3.0,10.0,,,,,,,,7.0,25.0,7.0,1.0,3.0,7.0,2.0,1.0,,,,,2.0,11.0,68.0,,14.0,3.0,4.0,5.0,,6.0,1.0,7.0,1.0,4.0,2.0,,13.0,6.0,,4.0,9.0,,,1.0,1.0,2.0,,2.0,12.0,,1.0,1.0,,1.0,,,,3.0,3.0,7.0,1.0,,18.0,17.0,,,,10.0,,6.0,7.0,,5.0,,29.0,18.0,,,5.0,,,,6.0,37.0,513.0,144.0,81.0,520.0,1.0,,5.0,6.0,35.0,,26.0,,19.0,1.0,4.0,4.0,1.0,,1.0,10.0,9.0,19.0,,,,2347.0
Comanche,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,1.0,,,,,,,,,,,5.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,20.0
Concho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,8.0
Cooke,,,,,,,1.0,,,,,,,,1.0,,,1.0,,1.0,2.0,,,,,,,,,,,,4.0,1.0,1.0,2.0,,,6.0,2.0,,,,,1.0,,,1.0,,4.0,3.0,,6.0,6.0,,,,,2.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,2.0,,1.0,3.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,3.0,,,,1.0,,,,,1.0,,2.0,2.0,,,,,,,,1.0,19.0,10.0,6.0,17.0,,,,,2.0,1.0,1.0,,1.0,,,,,,,1.0,,1.0,,,,134.0
Coryell,2.0,,,,,,,,,,2.0,,,7.0,2.0,1.0,,2.0,,,4.0,1.0,,,,,,,,,,,1.0,1.0,5.0,1.0,,1.0,14.0,6.0,,2.0,,,,,,2.0,1.0,2.0,2.0,,9.0,10.0,,,,3.0,1.0,1.0,,,,,,,,2.0,4.0,2.0,,,1.0,,,,,,,1.0,5.0,7.0,,4.0,,4.0,,,2.0,,1.0,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,1.0,,2.0,,,1.0,8.0,,,,,,,,,,,1.0,,,,,,,,2.0,3.0,56.0,7.0,5.0,31.0,,,2.0,2.0,5.0,,,,7.0,,,1.0,,,,1.0,1.0,2.0,,,,257.0
Crane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Crockett,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,8.0
Crosby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,6.0
Culbertson,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,,,,,,,,,3.0,,1.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,,16.0
Dallam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,19.0
Dallas,9.0,34.0,4.0,,21.0,99.0,165.0,7.0,128.0,6.0,190.0,74.0,63.0,171.0,215.0,20.0,44.0,330.0,15.0,116.0,120.0,315.0,73.0,42.0,51.0,207.0,,7.0,5.0,,9.0,23.0,342.0,51.0,260.0,537.0,29.0,10.0,430.0,371.0,,3.0,,3.0,68.0,8.0,35.0,79.0,114.0,81.0,209.0,8.0,180.0,972.0,,,1.0,6.0,42.0,53.0,,5.0,61.0,20.0,,,6.0,103.0,304.0,84.0,9.0,8.0,114.0,6.0,9.0,5.0,,1.0,1.0,39.0,647.0,898.0,4.0,230.0,80.0,186.0,54.0,10.0,34.0,17.0,28.0,46.0,34.0,47.0,1.0,46.0,24.0,,148.0,49.0,,1.0,4.0,13.0,151.0,82.0,138.0,271.0,8.0,20.0,51.0,8.0,5.0,1.0,7.0,,11.0,54.0,64.0,6.0,,110.0,430.0,,5.0,1.0,144.0,3.0,178.0,88.0,2.0,419.0,102.0,450.0,183.0,4.0,,26.0,2.0,,4.0,52.0,240.0,6777.0,2022.0,1136.0,6551.0,5.0,,69.0,49.0,267.0,,141.0,2.0,293.0,23.0,49.0,44.0,13.0,,6.0,119.0,163.0,302.0,,2.0,,31184.0
Dawson,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,14.0
Deaf Smith,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,2.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,2.0,,5.0,,,,,,,,,,,,,,,,,,,,,,24.0
Delta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,4.0,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,13.0
Denton,6.0,14.0,4.0,1.0,12.0,55.0,67.0,,45.0,2.0,108.0,20.0,25.0,84.0,119.0,10.0,16.0,195.0,6.0,50.0,52.0,233.0,44.0,27.0,33.0,153.0,,1.0,2.0,,3.0,8.0,203.0,46.0,137.0,223.0,3.0,7.0,239.0,228.0,,3.0,,3.0,39.0,1.0,24.0,57.0,24.0,38.0,165.0,5.0,148.0,512.0,,,,4.0,26.0,45.0,1.0,1.0,19.0,4.0,,,,56.0,177.0,46.0,1.0,4.0,21.0,8.0,5.0,7.0,,,2.0,28.0,74.0,338.0,4.0,151.0,66.0,54.0,32.0,3.0,38.0,7.0,18.0,10.0,6.0,25.0,,51.0,15.0,,61.0,56.0,1.0,,5.0,7.0,82.0,34.0,71.0,126.0,4.0,11.0,24.0,7.0,5.0,,2.0,,7.0,32.0,59.0,5.0,,49.0,309.0,1.0,,1.0,82.0,,79.0,29.0,,166.0,237.0,191.0,139.0,4.0,,10.0,,,2.0,28.0,173.0,4827.0,1109.0,906.0,6889.0,1.0,,37.0,25.0,140.0,4.0,94.0,,231.0,11.0,24.0,27.0,8.0,,3.0,46.0,98.0,173.0,,,,21599.0
Dewitt,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,3.0,7.0,1.0,6.0,,,,,,,,,1.0,,,,,,,,,,,,,27.0
Dickens,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
Dimmit,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0
Donley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Duval,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,11.0
Eastland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,4.0,,1.0,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,3.0,7.0,1.0,,,,,,,3.0,,,,1.0,,,,,,,,,,,,,29.0
Ector,,,,,,,,,2.0,,,,,8.0,6.0,,,4.0,4.0,1.0,1.0,2.0,,,4.0,2.0,,,,,,,7.0,3.0,5.0,2.0,,,8.0,4.0,,,,,1.0,,,2.0,1.0,2.0,15.0,,,22.0,,,,,3.0,5.0,,,,,,,,2.0,8.0,5.0,,,1.0,,,,,,,,9.0,11.0,2.0,5.0,,,1.0,,,,1.0,1.0,,,,6.0,2.0,,,,,,,,1.0,1.0,1.0,,,1.0,2.0,2.0,,,1.0,,,,4.0,,,,3.0,,,,,,,1.0,,3.0,,,1.0,,,,,,,,10.0,57.0,19.0,12.0,55.0,,,1.0,1.0,6.0,,2.0,,3.0,,,,,,,,,,,,,355.0
Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,4.0
El Paso,,1.0,,,5.0,13.0,14.0,,9.0,1.0,24.0,14.0,14.0,39.0,39.0,4.0,5.0,42.0,8.0,24.0,25.0,65.0,9.0,4.0,15.0,19.0,,,,,,9.0,67.0,14.0,47.0,77.0,3.0,11.0,102.0,87.0,,,,,15.0,1.0,3.0,22.0,46.0,13.0,81.0,3.0,61.0,176.0,,,,2.0,14.0,17.0,,1.0,2.0,,,1.0,5.0,20.0,63.0,47.0,4.0,4.0,11.0,2.0,2.0,3.0,,,,7.0,95.0,211.0,,48.0,17.0,21.0,17.0,5.0,10.0,2.0,6.0,6.0,9.0,10.0,,16.0,2.0,,7.0,23.0,,,4.0,3.0,8.0,1.0,10.0,14.0,,3.0,5.0,,2.0,,1.0,,5.0,8.0,16.0,1.0,,67.0,105.0,,,,10.0,,23.0,5.0,,58.0,,19.0,18.0,,,10.0,,,4.0,19.0,62.0,1207.0,187.0,144.0,957.0,,,22.0,9.0,62.0,1.0,44.0,,109.0,9.0,15.0,8.0,2.0,,1.0,24.0,36.0,31.0,,,,5290.0
Ellis,,,,,,3.0,3.0,,1.0,,7.0,3.0,,5.0,13.0,,2.0,10.0,,1.0,3.0,15.0,4.0,,8.0,8.0,,,1.0,,,3.0,27.0,8.0,16.0,24.0,,,42.0,20.0,,,,,1.0,1.0,2.0,9.0,1.0,10.0,20.0,1.0,18.0,63.0,,1.0,,2.0,5.0,7.0,,1.0,1.0,1.0,,,,3.0,10.0,3.0,1.0,1.0,1.0,,,,,,1.0,2.0,9.0,42.0,,17.0,6.0,6.0,,1.0,2.0,1.0,1.0,3.0,1.0,1.0,,3.0,,,5.0,5.0,,,,1.0,5.0,5.0,4.0,11.0,,2.0,,,,,,,,4.0,4.0,1.0,,6.0,29.0,,,,8.0,,2.0,4.0,,7.0,1.0,7.0,14.0,,,2.0,,,1.0,1.0,13.0,339.0,84.0,50.0,289.0,,,6.0,,19.0,1.0,8.0,,22.0,1.0,2.0,1.0,1.0,,1.0,,5.0,9.0,,,,1466.0
Erath,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,1.0,,1.0,4.0,,,3.0,3.0,,,,,1.0,,,2.0,,2.0,4.0,,3.0,8.0,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,3.0,,2.0,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,1.0,,,,,,,,,,,,16.0,4.0,2.0,12.0,,,,,3.0,,1.0,,,2.0,1.0,,,,,,,1.0,,,,93.0
Falls,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,4.0,,,4.0,,,,,1.0,,,,,,,,,,,,,,,,,18.0
Fannin,,1.0,,,,,,,,,,,,3.0,1.0,,,,,,,1.0,,,,,,,,,,,1.0,,1.0,6.0,,,6.0,1.0,,,,,,,,,,1.0,,,1.0,2.0,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,3.0,,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,19.0,3.0,4.0,10.0,,,,,,,,,,,,,,,,,,1.0,,,,76.0
Fayette,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,1.0,,4.0,,3.0,,,,,,,,,,,,1.0,,,3.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,4.0,,,,2.0,,,,,,,,,,1.0,3.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,15.0,1.0,1.0,18.0,,,,,1.0,,2.0,,1.0,,,,,,,,1.0,,,,,73.0
Fisher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
Floyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,2.0,,,,,,,,,,,,,1.0,,,,13.0
Foard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,9.0
Fort Bend,10.0,7.0,5.0,1.0,15.0,53.0,37.0,1.0,59.0,,94.0,52.0,24.0,62.0,82.0,10.0,14.0,125.0,13.0,28.0,36.0,152.0,31.0,28.0,37.0,93.0,,1.0,,,2.0,11.0,200.0,24.0,89.0,102.0,1.0,5.0,109.0,148.0,,,2.0,2.0,5.0,3.0,24.0,29.0,17.0,27.0,164.0,3.0,45.0,305.0,,,,1.0,20.0,35.0,,2.0,8.0,10.0,,,,67.0,189.0,83.0,1.0,1.0,19.0,4.0,4.0,2.0,,,1.0,14.0,47.0,237.0,2.0,104.0,60.0,43.0,16.0,1.0,17.0,7.0,11.0,9.0,7.0,37.0,2.0,41.0,13.0,,40.0,42.0,,,7.0,5.0,59.0,29.0,87.0,139.0,19.0,8.0,49.0,4.0,6.0,1.0,3.0,,3.0,15.0,27.0,,,94.0,151.0,,,1.0,45.0,,52.0,29.0,,135.0,,123.0,61.0,3.0,,8.0,,,2.0,16.0,187.0,3941.0,857.0,816.0,6071.0,2.0,,35.0,24.0,84.0,1.0,81.0,,210.0,3.0,11.0,20.0,1.0,,2.0,25.0,43.0,96.0,,,,17275.0
Franklin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,5.0,1.0,,2.0,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,23.0
