County,Alfa Romeo Tonale,Audi A3 Plug In,Audi A7 Plug In,Audi A8 Plug In,Audi Q4 Sportback e-tron,Audi Q4 e-tron,Audi Q5 Plug In,Audi Q8 Sportback e-tron,Audi Q8 e-tron,Audi RS e-tron GT,Audi e-tron,Audi e-tron GT,Audi e-tron Sportback,Azure Transit Connect,BMW 3-Series Plug in,BMW 5-Series Plug in,BMW 7-Series Plug in,BMW X3,BMW X5,BMW XM,BMW i3,BMW i3 REx,BMW i4,BMW i5,BMW i7,BMW i8,BMW iX,BYD 8TT,Bentley Bentayga Hybrid,Bentley Flying Spur Hybrid,BrightDrop EV600,Cadillac CT6,Cadillac ELR,Cadillac Lyriq,Chevrolet Blazer EV,Chevrolet Bolt EUV,Chevrolet Bolt EV,Chevrolet Silverado EV,Chevrolet Spark,Chevrolet Volt,Chrysler Pacifica,Coda EV,Dodge Hornet,E-Ride EXV,Ferrari SF90 Stradale,Fiat 500e,Fisker Karma,Fisker Ocean,Ford C-Max Energi,Ford E-Transit,Ford Escape Plug-in Hybrid,Ford F-150 Lightning,Ford Focus EV,Ford Fusion Energi,Ford Mustang Mach-E,Ford Ranger,Ford Think Neighbor,Freightliner eCascadia,GEM NEV,GMC Hummer EV Pickup,GMC Hummer EV SUV,Genesis G80 EV,Genesis GV60 EV,Genesis GV70 EV,Gillig Battery Electric Bus,GreenPower EV Star,Honda Accord Plug In,Honda Clarity Plug In,Hyundai Ioniq 5,Hyundai Ioniq 6,Hyundai Ioniq EV,Hyundai Ioniq Plug In,Hyundai Kona Electric,Hyundai Santa Fe Plug In,Hyundai Sonata Plug In,Hyundai Tucson Plug In,IC Bus CE Electric Bus,International MV60E,Jaguar I-PACE,Jaguar I-Pace,Jeep Grand Cherokee Plug In,Jeep Wrangler 4xe,Karma Revero,Kia EV6,Kia EV9,Kia Niro EV,Kia Niro Plug In,Kia Optima Plug In,Kia Sorento Plug In,Kia Soul EV,Kia Sportage Plug-In,Land Rover Range Rover Plug In,Lexus NX 450h+,Lexus RZ 450e,Lexus TX 500h,Lincoln Aviator Plug In,Lincoln Corsair,Lion LionC Bus,Lucid Air,Mazda CX-90,Mazda MX-30,Mclaren P1,Mercedes B-Class Electric,Mercedes C350e Plug In,Mercedes EQB,Mercedes EQE,Mercedes EQE SUV,Mercedes EQS,Mercedes EQS SUV,Mercedes GLC 350e Hybrid,Mercedes GLE 450e,Mercedes GLE55e,Mercedes S550e,Mercedes S560e,Mercedes S580e,Miles ZX40ST,Mini Cooper SE Countryman,Mini Cooper SE Hardtop 2 Door,Mitsubishi Outlander Plug In,Mitsubishi i,New Flyer Xcelsior CHARGE,Nissan Ariya,Nissan Leaf,Orange EV T-Series N Standard Duty,Peterbilt 220EV,Peterbilt 579EV,Polestar 1,Polestar 2,Porsche 918 Spyder,Porsche Cayenne S E-Hybrid,Porsche Panamera S E-Hybrid,Porsche Panamera Turbo S E-Hybrid,Porsche Taycan,Rivian EDV,Rivian R1S,Rivian R1T,Rolls Royce Spectre,Smart EQ ForTwo,Smart forTwo EV,Smart forTwo EV Cabrio,Smith EV,Subaru Crosstrek Hybrid,Subaru Solterra,Tesla Cybertruck,Tesla Model 3,Tesla Model S,Tesla Model X,Tesla Model Y,Tesla Roadster,Tesla Semi,Toyota BZ4X,Toyota Prius Plug-in,Toyota Prius Prime,Toyota RAV4 EV,Toyota RAV4 Prime,Volkswagen ID.4,Volkswagen e-Golf,Volvo C40 Recharge,Volvo S60 Plug In,Volvo S90 Plug In,Volvo Trucks VNR Electric Truck,Volvo V60 Plug In,Volvo XC40 Recharge,Volvo XC60 Plug-In,Volvo XC90 Plug-In,Wheego Life,Workhorse E-GEN Van,Xos MDXT,Grand Total
Childress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,7.0
Clay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,15.0
Coke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0
Coleman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,5.0
Collin,,10.0,7.0,1.0,12.0,105.0,64.0,,56.0,1.0,173.0,53.0,53.0,,128.0,179.0,11.0,30.0,270.0,5.0,62.0,80.0,223.0,16.0,14.0,36.0,169.0,,1.0,1.0,,4.0,9.0,105.0,,214.0,234.0,,12.0,339.0,306.0,,,,,47.0,2.0,9.0,52.0,30.0,30.0,153.0,15.0,161.0,456.0,,1.0,,6.0,14.0,5.0,,19.0,11.0,,,2.0,126.0,122.0,52.0,7.0,7.0,15.0,5.0,6.0,2.0,,,,26.0,116.0,338.0,2.0,136.0,7.0,51.0,34.0,2.0,33.0,11.0,18.0,11.0,30.0,26.0,2.0,48.0,11.0,,78.0,41.0,1.0,,6.0,9.0,72.0,56.0,64.0,162.0,1.0,20.0,35.0,4.0,8.0,1.0,,,14.0,22.0,47.0,10.0,,63.0,385.0,,,,,53.0,,84.0,49.0,,186.0,262.0,187.0,107.0,,,15.0,,,3.0,31.0,4.0,6520.0,1516.0,1213.0,8487.0,6.0,,19.0,55.0,236.0,2.0,100.0,322.0,17.0,34.0,27.0,5.0,,3.0,62.0,81.0,177.0,,,,26202.0
Collingsworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0
Colorado,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,1.0,1.0,,,,,,,,1.0,,,2.0,,3.0,2.0,,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,2.0,4.0,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,9.0,5.0,3.0,8.0,,,,,1.0,,,,,,,,,,,,1.0,,,,56.0
Comal,,3.0,,,1.0,11.0,12.0,,13.0,,14.0,15.0,3.0,,13.0,12.0,1.0,1.0,26.0,,9.0,6.0,15.0,,,1.0,2.0,,,,,2.0,1.0,10.0,,22.0,42.0,,2.0,44.0,37.0,,,,,1.0,1.0,,16.0,1.0,6.0,49.0,,21.0,43.0,,,,3.0,1.0,4.0,,,,,,,7.0,12.0,4.0,1.0,3.0,7.0,2.0,1.0,,,,,2.0,13.0,59.0,,6.0,1.0,4.0,3.0,,4.0,1.0,3.0,2.0,4.0,2.0,,15.0,3.0,,3.0,4.0,,,1.0,2.0,5.0,,,7.0,,1.0,1.0,,1.0,,,,2.0,6.0,6.0,,,11.0,17.0,,,,,10.0,,5.0,6.0,,6.0,,21.0,15.0,,,5.0,,,1.0,3.0,,451.0,135.0,73.0,395.0,1.0,,2.0,5.0,29.0,,21.0,18.0,1.0,2.0,3.0,1.0,,,10.0,11.0,13.0,,,,1933.0
Comanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,1.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,15.0
Concho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
Cooke,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,2.0,,3.0,,,,5.0,2.0,,,,,1.0,,,1.0,,2.0,2.0,,7.0,6.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,2.0,2.0,,2.0,,,,1.0,,,1.0,,1.0,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,1.0,,,,2.0,,,,,1.0,,,,,,,2.0,1.0,,,,,,,,,17.0,12.0,8.0,11.0,,,,,3.0,1.0,1.0,,,,1.0,,,,1.0,,1.0,,,,114.0
Coryell,1.0,,,,,,,,,,2.0,,,,6.0,3.0,,,1.0,,1.0,4.0,,,,,,,,,,,,1.0,,3.0,3.0,,,13.0,7.0,,,,,,,,2.0,1.0,1.0,,,9.0,3.0,,,,2.0,,,,,,,,,1.0,2.0,1.0,,,,,,,,,,,7.0,7.0,,1.0,,5.0,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,1.0,,2.0,,,1.0,8.0,,,,,,,,,,,,,,,,,,,,1.0,,43.0,5.0,4.0,26.0,,,,1.0,3.0,,,2.0,,,1.0,,,,,1.0,2.0,,,,194.0
Crockett,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,4.0
Crosby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,6.0
Culbertson,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,5.0,,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,14.0
Dallam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,2.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,14.0
Dallas,5.0,27.0,3.0,,27.0,123.0,128.0,2.0,81.0,1.0,194.0,62.0,61.0,1.0,180.0,232.0,11.0,44.0,377.0,5.0,110.0,125.0,254.0,26.0,24.0,59.0,179.0,,4.0,3.0,,8.0,22.0,189.0,1.0,274.0,522.0,5.0,8.0,449.0,320.0,,,,3.0,68.0,9.0,9.0,85.0,110.0,87.0,175.0,7.0,173.0,775.0,,,1.0,8.0,20.0,20.0,3.0,39.0,10.0,,2.0,4.0,96.0,226.0,46.0,6.0,9.0,97.0,3.0,8.0,4.0,,1.0,,39.0,506.0,630.0,3.0,176.0,6.0,177.0,49.0,11.0,24.0,16.0,19.0,36.0,34.0,38.0,,37.0,17.0,,108.0,29.0,,1.0,6.0,17.0,101.0,65.0,89.0,232.0,3.0,19.0,25.0,7.0,4.0,,,1.0,13.0,52.0,72.0,6.0,,67.0,427.0,1.0,,5.0,1.0,84.0,3.0,157.0,97.0,2.0,367.0,104.0,363.0,168.0,2.0,,30.0,3.0,,4.0,21.0,6.0,6474.0,2076.0,1153.0,5572.0,6.0,,30.0,47.0,264.0,,117.0,260.0,24.0,41.0,32.0,14.0,,5.0,109.0,123.0,241.0,,5.0,2.0,27425.0
Dawson,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,8.0
Deaf Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,1.0,,2.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,2.0,,4.0,,,,,,,,,,,,,,,,,,,,,22.0
Delta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,14.0
Denton,3.0,15.0,3.0,1.0,8.0,62.0,48.0,,34.0,,100.0,15.0,19.0,,89.0,116.0,9.0,15.0,198.0,1.0,49.0,58.0,166.0,17.0,17.0,35.0,145.0,,1.0,1.0,,3.0,9.0,102.0,2.0,141.0,227.0,,7.0,264.0,194.0,,1.0,,2.0,40.0,1.0,7.0,58.0,22.0,27.0,138.0,6.0,148.0,390.0,,,,3.0,18.0,16.0,,8.0,2.0,,,,59.0,122.0,21.0,,6.0,16.0,4.0,5.0,4.0,,,2.0,24.0,81.0,289.0,4.0,91.0,9.0,38.0,20.0,3.0,24.0,8.0,11.0,6.0,4.0,22.0,,38.0,13.0,,47.0,26.0,,,4.0,6.0,53.0,30.0,41.0,114.0,,10.0,10.0,6.0,5.0,,1.0,,8.0,27.0,48.0,6.0,,32.0,322.0,,,,1.0,50.0,,62.0,31.0,,128.0,118.0,146.0,127.0,1.0,,11.0,,,2.0,17.0,5.0,4421.0,1076.0,826.0,5418.0,2.0,,16.0,25.0,138.0,4.0,76.0,226.0,13.0,21.0,17.0,6.0,,3.0,41.0,62.0,131.0,,,,18002.0
Dewitt,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,23.0
Dickens,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
Dimmit,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
Duval,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,9.0
Eastland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,5.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,6.0,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,20.0
Ector,,,,,,,,,1.0,,,,,,9.0,5.0,,,7.0,,1.0,,1.0,,,3.0,2.0,,,,,,,3.0,,4.0,3.0,,,8.0,5.0,,,,,,,,2.0,1.0,1.0,7.0,,,16.0,,,,,2.0,3.0,,,,,,,3.0,5.0,2.0,,,,,,,,,,,12.0,10.0,,4.0,,,1.0,,,,,,,,,6.0,2.0,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,1.0,,,,3.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,49.0,14.0,6.0,43.0,,,,1.0,6.0,,1.0,3.0,,,,,,,,1.0,1.0,,,,266.0
Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3.0
El Paso,,1.0,,,6.0,17.0,14.0,,6.0,1.0,22.0,9.0,15.0,,38.0,33.0,4.0,7.0,40.0,4.0,23.0,20.0,41.0,1.0,3.0,14.0,17.0,,,,,,9.0,34.0,,48.0,68.0,,8.0,103.0,82.0,,,,,17.0,,,22.0,45.0,14.0,63.0,3.0,64.0,123.0,,,,2.0,7.0,3.0,1.0,2.0,,,1.0,3.0,17.0,43.0,29.0,2.0,4.0,6.0,,3.0,2.0,,,,6.0,87.0,169.0,,31.0,2.0,15.0,9.0,5.0,7.0,3.0,6.0,4.0,6.0,9.0,,13.0,4.0,,7.0,11.0,,,3.0,2.0,8.0,1.0,7.0,18.0,,2.0,4.0,,2.0,,,,7.0,5.0,13.0,1.0,,45.0,116.0,,,,,6.0,,20.0,4.0,,44.0,,13.0,8.0,,,11.0,,,4.0,5.0,,1001.0,171.0,122.0,674.0,,,10.0,8.0,56.0,1.0,32.0,96.0,5.0,13.0,5.0,1.0,,1.0,19.0,29.0,27.0,,,,4178.0
Ellis,,1.0,,,,3.0,3.0,,1.0,,8.0,4.0,,,7.0,9.0,,1.0,11.0,,2.0,3.0,13.0,3.0,,8.0,6.0,,,,,,3.0,12.0,1.0,16.0,26.0,,,40.0,14.0,,,,,1.0,,1.0,9.0,1.0,10.0,19.0,1.0,19.0,46.0,,1.0,,2.0,4.0,,1.0,,,,,,3.0,11.0,3.0,,1.0,,,,,,,1.0,1.0,9.0,33.0,,11.0,,6.0,1.0,1.0,,1.0,,3.0,,1.0,,1.0,1.0,,3.0,5.0,,,,1.0,2.0,1.0,3.0,7.0,,1.0,,,,,,,,2.0,5.0,,,6.0,21.0,,,,,3.0,,,3.0,,7.0,,7.0,5.0,,,2.0,,,1.0,,,301.0,78.0,49.0,189.0,1.0,,3.0,,15.0,,4.0,21.0,1.0,1.0,1.0,1.0,,,,3.0,5.0,,,,1156.0
Erath,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,2.0,1.0,,2.0,4.0,,,3.0,2.0,,,,,1.0,,,2.0,1.0,1.0,4.0,,3.0,5.0,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,3.0,3.0,,1.0,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,1.0,,,,,,,,,,,,16.0,5.0,2.0,7.0,,,,,3.0,,1.0,,2.0,,,,,,,,,,,,87.0
Falls,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,2.0,,,,,,,,,,,,,,,,,,,,,8.0
Fannin,,1.0,,,,,,,,,,,,,2.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,3.0,,,6.0,1.0,,,,,,,,,,1.0,,,2.0,3.0,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,1.0,1.0,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,18.0,4.0,3.0,9.0,,,,,1.0,,,,,,,,,,,,2.0,,,,71.0
Fayette,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,3.0,,2.0,,,,,,,,,,,,3.0,,,1.0,,,,1.0,,,,,,,,,1.0,2.0,,,1.0,,,,,,,,,,3.0,,,,1.0,,,,,,,,,,1.0,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,2.0,,14.0,,,,,1.0,,1.0,,,,,,,,,1.0,1.0,,,,59.0
Fisher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Floyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,9.0
Foard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,8.0
Fort Bend,5.0,7.0,4.0,1.0,9.0,64.0,20.0,,41.0,,91.0,45.0,17.0,,61.0,76.0,10.0,12.0,128.0,4.0,28.0,39.0,120.0,14.0,15.0,41.0,74.0,,1.0,,,1.0,11.0,84.0,3.0,88.0,89.0,1.0,6.0,117.0,146.0,,,2.0,,4.0,4.0,8.0,24.0,17.0,26.0,119.0,2.0,54.0,263.0,,,,,9.0,11.0,,2.0,4.0,,,,67.0,95.0,46.0,2.0,1.0,4.0,1.0,3.0,1.0,,,,11.0,53.0,206.0,2.0,67.0,7.0,32.0,13.0,1.0,13.0,7.0,5.0,7.0,5.0,25.0,,31.0,9.0,,29.0,16.0,,,7.0,5.0,75.0,24.0,60.0,135.0,,7.0,27.0,3.0,7.0,1.0,,,5.0,14.0,24.0,,,56.0,151.0,,,,1.0,34.0,,45.0,26.0,,114.0,2.0,95.0,58.0,1.0,,7.0,,,2.0,7.0,3.0,3596.0,834.0,752.0,4743.0,,,7.0,22.0,72.0,1.0,59.0,186.0,3.0,10.0,17.0,2.0,,1.0,16.0,31.0,77.0,,,,14206.0
Franklin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,6.0,1.0,,3.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,22.0
Freestone,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,7.0,3.0,,6.0,,,1.0,,1.0,,,,,,,,,,,,,,,,32.0
Frio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,17.0
Gains,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,1.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,3.0,4.0,,3.0,,,,,,,1.0,,,,,,,,,,,,,,26.0
Galveston,1.0,,,,,6.0,7.0,,5.0,,13.0,4.0,2.0,,16.0,12.0,,2.0,28.0,,8.0,9.0,19.0,1.0,,5.0,14.0,,,,,2.0,2.0,23.0,,22.0,47.0,,1.0,54.0,22.0,,,,1.0,2.0,,,14.0,8.0,8.0,47.0,,23.0,57.0,,3.0,,4.0,2.0,4.0,,,,,,,10.0,20.0,3.0,3.0,,2.0,,,,,,,3.0,21.0,77.0,,12.0,2.0,19.0,10.0,1.0,2.0,2.0,3.0,,2.0,,,8.0,7.0,,11.0,4.0,,,,2.0,4.0,2.0,9.0,19.0,,,1.0,,4.0,,,,1.0,7.0,5.0,,,4.0,31.0,,,,,5.0,,5.0,5.0,,17.0,220.0,14.0,17.0,,,2.0,1.0,,,5.0,3.0,480.0,161.0,82.0,439.0,,,7.0,6.0,30.0,,20.0,40.0,2.0,5.0,2.0,3.0,,,10.0,5.0,7.0,,,,2402.0
Garza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
