County,Alfa Romeo Tonale,Audi A3 Plug In,Audi A7 Plug In,Audi A8 Plug In,Audi Q4 Sportback e-tron,Audi Q4 e-tron,Audi Q5 Plug In,Audi Q8 Sportback e-tron,Audi Q8 e-tron,Audi RS e-tron GT,Audi e-tron,Audi e-tron GT,Audi e-tron Sportback,Azure Transit Connect,BMW 3-Series Plug in,BMW 5-Series Plug in,BMW 7-Series Plug in,BMW X3,BMW X5,BMW XM,BMW i3,BMW i3 REx,BMW i4,BMW i5,BMW i7,BMW i8,BMW iX,BYD 8TT,Bentley Bentayga Hybrid,Bentley Flying Spur Hybrid,Cadillac CT6,Cadillac ELR,Cadillac Lyriq,Chevrolet Blazer EV,Chevrolet Bolt EUV,Chevrolet Bolt EV,Chevrolet Silverado EV,Chevrolet Spark,Chevrolet Volt,Chrysler Pacifica,Coda EV,Dodge Hornet,E-Ride EXV,Ferrari SF90 Stradale,Fiat 500e,Fisker Karma,Fisker Ocean,Ford C-Max Energi,Ford E-Transit,Ford Escape Plug-in Hybrid,Ford F-150 Lightning,Ford Focus EV,Ford Fusion Energi,Ford Mustang Mach-E,Ford Ranger,Ford Think Neighbor,Freightliner eCascadia,GEM NEV,GMC Hummer EV Pickup,GMC Hummer EV SUV,Genesis G80 EV,Genesis GV60 EV,Genesis GV70 EV,Gillig Battery Electric Bus,GreenPower EV Star,Honda Accord Plug In,Honda Clarity BEV,Honda Clarity Plug In,Hyundai Ioniq 5,Hyundai Ioniq 6,Hyundai Ioniq EV,Hyundai Ioniq Plug In,Hyundai Kona Electric,Hyundai Santa Fe Plug In,Hyundai Sonata Plug In,Hyundai Tucson Plug In,IC Bus CE Electric Bus,International MV60E,Jaguar I-PACE,Jaguar I-Pace,Jeep Grand Cherokee Plug In,Jeep Wrangler 4xe,Karma Revero,Kia EV6,Kia Niro EV,Kia Niro Plug In,Kia Optima Plug In,Kia Sorento Plug In,Kia Sorrento Plug In,Kia Soul EV,Kia Sportage Plug-In,Land Rover Range Rover Plug In,Lexus NX 450h+,Lexus RZ 450e,Lincoln Aviator Plug In,Lincoln Corsair,Lucid Air,Mazda CX-90,Mazda MX-30,Mclaren P1,Mercedes B-Class Electric,Mercedes C350e Plug In,Mercedes EQB,Mercedes EQE,Mercedes EQE SUV,Mercedes EQS,Mercedes EQS SUV,Mercedes GLC 350e Hybrid,Mercedes GLE 450e,Mercedes GLE55e,Mercedes S550e,Mercedes S560e,Miles ZX40ST,Mini Cooper SE Countryman,Mini Cooper SE Hardtop 2 Door,Mitsubishi Outlander Plug In,Mitsubishi i,New Flyer Xcelsior CHARGE,Nissan Ariya,Nissan Leaf,Orange EV T-Series N Standard Duty,Peterbilt 220EV,Peterbilt 579EV,Polestar 1,Polestar 2,Porsche 918 Spyder,Porsche Cayenne S E-Hybrid,Porsche Panamera S E-Hybrid,Porsche Panamera Turbo S E-Hybrid,Porsche Taycan,Rivian EDV,Rivian R1S,Rivian R1T,Smart EQ ForTwo,Smart forTwo EV,Smart forTwo EV Cabrio,Smith EV,Subaru Crosstrek Hybrid,Subaru Solterra,Tesla Model 3,Tesla Model S,Tesla Model X,Tesla Model Y,Tesla Roadster,Tesla Semi,Toyota BZ4X,Toyota Prius Plug-in,Toyota Prius Prime,Toyota RAV4 EV,Toyota RAV4 Prime,Volkswagen ID.4,Volkswagen e-Golf,Volvo C40 Recharge,Volvo S60 Plug In,Volvo S90 Plug In,Volvo Trucks VNR Electric Truck,Volvo V60 Plug In,Volvo XC40 Recharge,Volvo XC60 Plug-In,Volvo XC90 Plug-In,Wheego Life,Workhorse E-GEN Van,Xos MDXT,Grand Total
Grayson,,,,,1.0,1.0,1.0,,,,1.0,1.0,,,2.0,5.0,,,2.0,,2.0,4.0,3.0,,,,,,,,,,3.0,,17.0,19.0,,1.0,29.0,17.0,,,,,3.0,1.0,,9.0,,4.0,8.0,1.0,19.0,20.0,,,,,1.0,,,,,,,,,5.0,3.0,,,2.0,,1.0,,2.0,,,,,6.0,19.0,,7.0,4.0,1.0,,,1.0,,,,,,5.0,1.0,2.0,,,,,1.0,1.0,,,2.0,,,,,,,,,,2.0,,,2.0,14.0,,,,,3.0,,,1.0,,,,1.0,1.0,,,,,,2.0,140.0,41.0,8.0,87.0,,,,3.0,7.0,,1.0,6.0,,,,1.0,,,1.0,1.0,2.0,,,,562.0
Gregg,,,,,,,,,,,,,1.0,,2.0,2.0,,,5.0,,,1.0,1.0,,,,1.0,,,,1.0,,2.0,,3.0,8.0,,,9.0,7.0,,,,,1.0,,,2.0,,1.0,6.0,,6.0,13.0,,,,,1.0,1.0,,,,,,,,3.0,,,,,,,,,,,,,15.0,14.0,,4.0,3.0,1.0,,,,,,,,,,,2.0,2.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,12.0,,,,6.0,,,,,,,1.0,1.0,,5.0,,,3.0,,2.0,,,1.0,,59.0,25.0,11.0,56.0,,,1.0,,7.0,,5.0,3.0,,1.0,1.0,,,,,1.0,4.0,,,,327.0
Grimes,,,,,,1.0,,,,,,,1.0,,1.0,,,,1.0,,3.0,,,,,,,,,,,,1.0,,,4.0,,,2.0,,,,,,,,,,,,3.0,,2.0,2.0,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,1.0,5.0,,,,2.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,10.0,7.0,4.0,13.0,,,,,1.0,,,,,,,,,,,1.0,,,,,74.0
Guadalupe,,1.0,1.0,,1.0,7.0,5.0,,,,10.0,3.0,2.0,,7.0,4.0,1.0,,10.0,,2.0,2.0,3.0,,,,2.0,,,,1.0,1.0,2.0,,13.0,21.0,,,28.0,18.0,,,,,3.0,,,3.0,,6.0,16.0,2.0,16.0,27.0,,,,,,,,,,,,,,3.0,6.0,2.0,,2.0,1.0,1.0,1.0,,,,,1.0,6.0,31.0,,2.0,1.0,2.0,1.0,,1.0,2.0,,,,,6.0,1.0,2.0,1.0,,,,,1.0,1.0,2.0,2.0,,1.0,,,,,,,,4.0,1.0,,1.0,23.0,,,,,2.0,,3.0,1.0,,2.0,,3.0,3.0,,1.0,,,,,242.0,51.0,27.0,178.0,,,1.0,5.0,15.0,,8.0,11.0,1.0,2.0,,1.0,,,1.0,3.0,6.0,,,,894.0
Hale,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,4.0,2.0,,,,,,,,,,1.0,8.0,,2.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,3.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,1.0,3.0,,,,,1.0,,,,,,,,,,1.0,,,,,,41.0
Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0
Hamilton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,1.0,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,13.0
Hansford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
Hardeman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0
Hardin,,,,,,,,,,,,,,,2.0,3.0,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,,3.0,,,,,,,,,,,1.0,,,3.0,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,5.0,9.0,,2.0,2.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,2.0,1.0,,,,,,,31.0,3.0,1.0,14.0,,,,1.0,5.0,,3.0,1.0,,,1.0,,,,,,1.0,,,,106.0
Harris,12.0,44.0,7.0,4.0,33.0,156.0,115.0,,102.0,2.0,328.0,97.0,83.0,,243.0,219.0,18.0,45.0,388.0,5.0,162.0,168.0,296.0,8.0,9.0,90.0,180.0,,3.0,4.0,9.0,37.0,152.0,5.0,531.0,616.0,3.0,16.0,557.0,402.0,1.0,,,4.0,42.0,9.0,,129.0,91.0,116.0,398.0,8.0,285.0,678.0,,2.0,,9.0,30.0,4.0,36.0,17.0,12.0,,,5.0,,145.0,368.0,86.0,13.0,18.0,126.0,4.0,10.0,5.0,10.0,,,50.0,266.0,803.0,8.0,199.0,97.0,71.0,10.0,,35.0,14.0,25.0,25.0,35.0,35.0,77.0,29.0,83.0,49.0,1.0,,6.0,8.0,181.0,82.0,122.0,365.0,,29.0,53.0,13.0,14.0,,,20.0,59.0,56.0,12.0,,100.0,583.0,,,,2.0,122.0,3.0,203.0,90.0,1.0,412.0,531.0,347.0,234.0,,19.0,1.0,,10.0,30.0,8599.0,2477.0,1624.0,7110.0,11.0,,67.0,74.0,311.0,2.0,168.0,560.0,30.0,49.0,43.0,8.0,,5.0,99.0,155.0,289.0,,,,35111.0
Harrison,,1.0,,,,1.0,,,,,,,,,,1.0,,,2.0,,2.0,1.0,,,,,1.0,,,,,,,,,1.0,,,4.0,3.0,,,,,1.0,,,,,,3.0,,4.0,3.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,3.0,4.0,,,,1.0,,,,,,,,,3.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,4.0,,,,,,,1.0,,,,,,1.0,,,,,,,28.0,14.0,9.0,24.0,1.0,,1.0,1.0,6.0,,2.0,1.0,,,,,,,,1.0,2.0,,,,138.0
Hartley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0
Haskell,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,6.0
Hays,,7.0,,,3.0,14.0,16.0,,6.0,,20.0,5.0,8.0,,19.0,24.0,,4.0,47.0,1.0,11.0,17.0,23.0,,,4.0,9.0,,,2.0,,2.0,7.0,1.0,45.0,66.0,,4.0,98.0,48.0,,,,2.0,3.0,,,22.0,2.0,14.0,34.0,,40.0,78.0,,,,1.0,3.0,2.0,,,1.0,,,,,25.0,34.0,5.0,,4.0,5.0,1.0,2.0,,,,,3.0,11.0,50.0,,13.0,9.0,18.0,2.0,,5.0,4.0,2.0,,4.0,,7.0,5.0,3.0,6.0,,,,1.0,8.0,6.0,2.0,6.0,,1.0,,,1.0,,,4.0,5.0,6.0,1.0,,5.0,73.0,,,,,17.0,,7.0,3.0,,13.0,43.0,31.0,40.0,,1.0,,,3.0,4.0,686.0,170.0,104.0,573.0,1.0,,4.0,12.0,40.0,1.0,29.0,54.0,5.0,7.0,4.0,1.0,1.0,1.0,10.0,11.0,27.0,,,,2953.0
Hemphill,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,4.0
Henderson,1.0,,,,,,2.0,,,,1.0,,,,2.0,1.0,,,,,,,1.0,,,,1.0,,,,,,3.0,,2.0,6.0,,,11.0,3.0,,,,,,,,3.0,,,6.0,1.0,6.0,2.0,,,,1.0,,,,,,,,,,5.0,,,,,,,1.0,,,,,,2.0,6.0,,2.0,1.0,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,,,,,,,1.0,,,1.0,,1.0,1.0,,,,,,,33.0,23.0,5.0,10.0,,,1.0,,6.0,1.0,3.0,4.0,,,,1.0,,,,1.0,1.0,,,,171.0
Hidalgo,2.0,1.0,,,2.0,10.0,9.0,,7.0,,11.0,6.0,1.0,1.0,29.0,18.0,2.0,1.0,24.0,1.0,9.0,9.0,28.0,,,11.0,21.0,,,,2.0,3.0,20.0,2.0,22.0,32.0,,2.0,43.0,37.0,,,,,4.0,1.0,,10.0,7.0,9.0,49.0,1.0,17.0,75.0,1.0,,,1.0,1.0,1.0,,,1.0,,,,,7.0,22.0,18.0,,,2.0,,,,,,1.0,4.0,100.0,180.0,,14.0,3.0,8.0,,,1.0,,2.0,5.0,3.0,8.0,5.0,,5.0,3.0,,,2.0,1.0,4.0,3.0,2.0,15.0,,1.0,5.0,,,,,2.0,1.0,7.0,,,18.0,23.0,,,,,2.0,,10.0,5.0,,14.0,,3.0,8.0,,3.0,,,,2.0,585.0,107.0,97.0,436.0,,,3.0,7.0,29.0,,9.0,23.0,,7.0,4.0,,,,2.0,8.0,20.0,,,,2403.0
Hill,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,3.0,5.0,,,6.0,2.0,,,,,,,,2.0,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,3.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,2.0,,,,,,,,,,,,,,,1.0,,,,,18.0,3.0,3.0,9.0,,,,,5.0,,3.0,,,,,,,,,,1.0,,,,81.0
Hockley,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,2.0,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,21.0
Hood,,1.0,1.0,,,1.0,3.0,,,,2.0,,,,2.0,2.0,,1.0,6.0,,,3.0,5.0,,,,1.0,,,,,,2.0,,3.0,11.0,,,8.0,6.0,,,,,2.0,,,4.0,,3.0,6.0,,7.0,6.0,,,,,,,,,,,,,,1.0,8.0,1.0,,,1.0,1.0,1.0,,,,,,2.0,18.0,,9.0,1.0,3.0,,,2.0,,,,1.0,1.0,6.0,2.0,,1.0,,,,,,,,4.0,,,,,,,,1.0,,,,,2.0,9.0,,,,,1.0,,1.0,,,1.0,,3.0,2.0,,1.0,,,,,71.0,20.0,7.0,47.0,,,,,7.0,,1.0,3.0,,,,,,,2.0,4.0,3.0,1.0,,,336.0
Hopkins,,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,4.0,,,2.0,3.0,,,,,,,,,,1.0,1.0,,3.0,1.0,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,4.0,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,1.0,,,,,,,,28.0,5.0,2.0,8.0,,,,2.0,1.0,,,2.0,,,,,,,,1.0,1.0,,,,82.0
Houston,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,1.0,2.0,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,3.0,,,3.0,,,,,,,,,,,,,,,,,,,,,15.0
Howard,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,3.0,8.0,,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,4.0,1.0,,9.0,,,1.0,1.0,5.0,,,,,,1.0,,,,,,,,,,48.0
Hudspeth,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
Hunt,,,,,1.0,,,,,,1.0,,,,2.0,,,,,,,3.0,2.0,,,,,,,,,,2.0,,8.0,19.0,,1.0,19.0,6.0,,,,,2.0,,,3.0,,3.0,5.0,,7.0,11.0,,,,,1.0,,,,,,,,,2.0,1.0,,,,1.0,,,,,,,,3.0,10.0,,,3.0,2.0,,,,1.0,,,,,2.0,,,,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,1.0,7.0,,,,,,,1.0,1.0,,1.0,,,,,,,,,1.0,79.0,17.0,7.0,51.0,,,1.0,,12.0,,2.0,3.0,1.0,,1.0,,,,,,,,,,310.0
Hutchinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,18.0
Irion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Jack,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,9.0
Jackson,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,,3.0,,,,,,,,,,,1.0,,,,,,,,,,12.0
Jasper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,5.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,7.0,,1.0,4.0,,,,1.0,1.0,,1.0,1.0,,,1.0,,,,,,,,,,31.0
Jeff Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,12.0
Jefferson,,,,,,2.0,3.0,,,,3.0,,,,1.0,2.0,1.0,,10.0,,2.0,5.0,2.0,,,3.0,2.0,,,,,1.0,,,21.0,9.0,,,14.0,13.0,,,,,2.0,1.0,,2.0,2.0,4.0,7.0,,9.0,2.0,,,,,2.0,1.0,,,1.0,,,,,3.0,2.0,,,,,,,,,,,1.0,5.0,13.0,,9.0,3.0,,1.0,,,1.0,2.0,1.0,1.0,,8.0,1.0,1.0,,,,,,,,3.0,4.0,,1.0,,,,,,1.0,,1.0,,,2.0,7.0,,,,,,,,1.0,,1.0,,4.0,2.0,,,,,,1.0,102.0,39.0,29.0,100.0,,,1.0,2.0,5.0,,5.0,6.0,,1.0,,1.0,,,2.0,2.0,2.0,,,,504.0
Jim Hogg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0
Jim Wells,,,,,1.0,,,,,,,,,,,,,,1.0,,,2.0,1.0,,,1.0,,,,,,,,,,,,,2.0,1.0,,,,,,,,2.0,,,1.0,,,2.0,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,10.0,4.0,3.0,3.0,,,,,,,,2.0,,,,,,,,,,,,,45.0
Johnson,,,1.0,,,2.0,,,1.0,,2.0,1.0,,,3.0,4.0,,,3.0,,,2.0,6.0,,,1.0,2.0,,,,,2.0,2.0,,10.0,14.0,,,29.0,14.0,,,,,5.0,,,11.0,2.0,7.0,12.0,,11.0,26.0,,1.0,,2.0,3.0,,,,,,,,,5.0,9.0,1.0,,,,,,,,,,1.0,8.0,36.0,,13.0,4.0,2.0,,,,,1.0,,,1.0,3.0,,1.0,2.0,,,,,3.0,1.0,2.0,2.0,,,2.0,1.0,,,,1.0,,5.0,1.0,,7.0,16.0,,,,,1.0,,1.0,2.0,,7.0,9.0,4.0,7.0,,2.0,,,,1.0,218.0,47.0,30.0,99.0,,,1.0,2.0,12.0,,6.0,15.0,,1.0,,,,,,2.0,3.0,,,,777.0
Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,2.0,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,2.0,,,,,1.0,,,1.0,,,,,,,,,,,,,16.0
Karnes,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,17.0
Kaufman,,,1.0,,,3.0,1.0,,3.0,,2.0,1.0,2.0,,6.0,9.0,,,7.0,1.0,4.0,3.0,2.0,,,3.0,4.0,,,,,3.0,3.0,1.0,18.0,20.0,,,26.0,10.0,,,,,2.0,,,8.0,3.0,4.0,7.0,,13.0,37.0,,,,1.0,,1.0,,,1.0,,,,,3.0,3.0,5.0,,,,,1.0,,,,,4.0,16.0,35.0,2.0,12.0,6.0,,,,2.0,2.0,1.0,1.0,1.0,,3.0,1.0,1.0,,,,,3.0,,,1.0,,,,,,,,,,,2.0,,,4.0,19.0,,,,,3.0,,2.0,4.0,,2.0,89.0,1.0,7.0,,,,,,2.0,253.0,52.0,15.0,198.0,,,3.0,3.0,15.0,,1.0,10.0,,,2.0,,,,,,7.0,,,,1007.0
Kendall,,,1.0,,,3.0,4.0,,4.0,,11.0,6.0,4.0,,7.0,10.0,4.0,2.0,13.0,,1.0,5.0,4.0,1.0,1.0,1.0,2.0,,,,,,5.0,1.0,8.0,10.0,,,13.0,8.0,,,,,,,,5.0,,4.0,15.0,,6.0,20.0,,,,2.0,5.0,,,1.0,1.0,,,,,2.0,6.0,2.0,,,,,,,,,,,7.0,13.0,,4.0,,,,,1.0,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,2.0,1.0,1.0,5.0,,2.0,1.0,,,,,,1.0,1.0,,,3.0,11.0,,,,,2.0,,4.0,1.0,,2.0,,8.0,7.0,,,,,1.0,,145.0,61.0,39.0,170.0,1.0,,2.0,2.0,8.0,,5.0,11.0,1.0,1.0,1.0,1.0,,,6.0,2.0,5.0,,,,745.0
Kent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Kerr,,1.0,,,,,,,1.0,,,,,,,1.0,,1.0,3.0,,,2.0,,,,1.0,,,,,,,2.0,,2.0,6.0,,,14.0,4.0,,,,,,1.0,,9.0,,2.0,6.0,1.0,2.0,10.0,,,,2.0,2.0,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,3.0,7.0,,,,,,,2.0,3.0,,1.0,,,5.0,1.0,,,,,,,,,,1.0,,,2.0,,,,,1.0,1.0,,,,,7.0,,,,,,,2.0,,,2.0,,,2.0,,1.0,,,,,28.0,13.0,4.0,22.0,,,,1.0,10.0,,1.0,1.0,,,1.0,,,,,1.0,,,,,199.0
Kimble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,3.0
King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0
Kinney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,4.0
Kleberg,,,,,,,,,,,,1.0,,,,,,,2.0,,,,1.0,,,,,,,,,1.0,1.0,,2.0,1.0,,,1.0,2.0,,,,,1.0,,,,,,,,3.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,6.0,3.0,3.0,10.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,49.0
