County,Alfa Romeo Tonale,Audi A3 Plug In,Audi A7 Plug In,Audi A8 Plug In,Audi Q4 Sportback e-tron,Audi Q4 e-tron,Audi Q5 Plug In,Audi Q8 Sportback e-tron,Audi Q8 e-tron,Audi RS e-tron GT,Audi e-tron,Audi e-tron GT,Audi e-tron Sportback,Azure Transit Connect,BMW 3-Series Plug in,BMW 5-Series Plug in,BMW 7-Series Plug in,BMW X3,BMW X5,BMW XM,BMW i3,BMW i3 REx,BMW i4,BMW i5,BMW i7,BMW i8,BMW iX,BYD 8TT,Bentley Bentayga Hybrid,Bentley Flying Spur Hybrid,Cadillac CT6,Cadillac ELR,Cadillac Lyriq,Chevrolet Blazer EV,Chevrolet Bolt EUV,Chevrolet Bolt EV,Chevrolet Silverado EV,Chevrolet Spark,Chevrolet Volt,Chrysler Pacifica,Coda EV,Dodge Hornet,E-Ride EXV,Ferrari SF90 Stradale,Fiat 500e,Fisker Karma,Fisker Ocean,Ford C-Max Energi,Ford E-Transit,Ford Escape Plug-in Hybrid,Ford F-150 Lightning,Ford Focus EV,Ford Fusion Energi,Ford Mustang Mach-E,Ford Ranger,Ford Think Neighbor,Freightliner eCascadia,GEM NEV,GMC Hummer EV Pickup,GMC Hummer EV SUV,Genesis G80 EV,Genesis GV60 EV,Genesis GV70 EV,Gillig Battery Electric Bus,GreenPower EV Star,Honda Accord Plug In,Honda Clarity Plug In,Hyundai Ioniq 5,Hyundai Ioniq 6,Hyundai Ioniq EV,Hyundai Ioniq Plug In,Hyundai Kona Electric,Hyundai Santa Fe Plug In,Hyundai Sonata Plug In,Hyundai Tucson Plug In,IC Bus CE Electric Bus,International MV60E,Jaguar I-PACE,Jaguar I-Pace,Jeep Grand Cherokee Plug In,Jeep Wrangler 4xe,Karma Revero,Kia EV6,Kia EV9,Kia Niro EV,Kia Niro Plug In,Kia Optima Plug In,Kia Sorento Plug In,Kia Soul EV,Kia Sportage Plug-In,Land Rover Range Rover Plug In,Lexus NX 450h+,Lexus RZ 450e,Lincoln Aviator Plug In,Lincoln Corsair,Lion LionC Bus,Lucid Air,Mazda CX-90,Mazda MX-30,Mclaren P1,Mercedes B-Class Electric,Mercedes C350e Plug In,Mercedes EQB,Mercedes EQE,Mercedes EQE SUV,Mercedes EQS,Mercedes EQS SUV,Mercedes GLC 350e Hybrid,Mercedes GLE 450e,Mercedes GLE55e,Mercedes S550e,Mercedes S560e,Miles ZX40ST,Mini Cooper SE Countryman,Mini Cooper SE Hardtop 2 Door,Mitsubishi Outlander Plug In,Mitsubishi i,New Flyer Xcelsior CHARGE,Nissan Ariya,Nissan Leaf,Orange EV T-Series N Standard Duty,Peterbilt 220EV,Peterbilt 579EV,Polestar 1,Polestar 2,Porsche 918 Spyder,Porsche Cayenne S E-Hybrid,Porsche Panamera S E-Hybrid,Porsche Panamera Turbo S E-Hybrid,Porsche Taycan,Rivian EDV,Rivian R1S,Rivian R1T,Rolls Royce Spectre,Smart EQ ForTwo,Smart forTwo EV,Smart forTwo EV Cabrio,Smith EV,Subaru Crosstrek Hybrid,Subaru Solterra,Tesla Cybertruck,Tesla Model 3,Tesla Model S,Tesla Model X,Tesla Model Y,Tesla Roadster,Tesla Semi,Toyota BZ4X,Toyota Prius Plug-in,Toyota Prius Prime,Toyota RAV4 EV,Toyota RAV4 Prime,Volkswagen ID.4,Volkswagen e-Golf,Volvo C40 Recharge,Volvo S60 Plug In,Volvo S90 Plug In,Volvo Trucks VNR Electric Truck,Volvo V60 Plug In,Volvo XC40 Recharge,Volvo XC60 Plug-In,Volvo XC90 Plug-In,Wheego Life,Workhorse E-GEN Van,Xos MDXT,Grand Total
Gonzales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,5.0,1.0,,5.0,,,,,2.0,,,,,,,,,,,,,,,,25.0
Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,2.0,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,1.0,4.0,,,,,,,2.0,,,,,,,,,,,,,,24.0
Grayson,,,,,1.0,1.0,1.0,,,,1.0,1.0,,,2.0,5.0,,,2.0,,2.0,4.0,3.0,1.0,,,,,,,,,4.0,,18.0,20.0,,1.0,27.0,16.0,,,,,3.0,1.0,,10.0,,4.0,9.0,1.0,18.0,20.0,,,,,1.0,1.0,,,,,,,5.0,3.0,,,2.0,,1.0,,2.0,,,,,8.0,21.0,,7.0,,4.0,1.0,,1.0,,,,,,5.0,1.0,,2.0,,,,,1.0,1.0,,,2.0,,,,,,,,,,2.0,,,2.0,15.0,,,,,3.0,,,1.0,,,,2.0,1.0,,,,,,,2.0,,140.0,40.0,10.0,95.0,,,,3.0,8.0,,2.0,6.0,,,,1.0,,,1.0,1.0,2.0,,,,582.0
Gregg,,,,,,,,,,,,,1.0,,2.0,3.0,,,4.0,,,1.0,1.0,,,1.0,1.0,,,,1.0,,3.0,,3.0,10.0,,,9.0,7.0,,,,,1.0,,,1.0,,1.0,8.0,,7.0,12.0,,,,,,1.0,,,,,,,3.0,,,,,,,,,,,,,19.0,15.0,,4.0,,3.0,1.0,,,,,,,,2.0,,,2.0,2.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,13.0,,,,5.0,,,,,,,1.0,,,7.0,,,2.0,,,2.0,,,1.0,,,61.0,25.0,11.0,57.0,,,1.0,,7.0,,5.0,3.0,,1.0,1.0,,,,,1.0,4.0,,,,341.0
Grimes,,,,,,1.0,,,,,,,1.0,,1.0,,,,2.0,,3.0,,,,,,,,,,,,1.0,,,4.0,,,2.0,,,,,,,,,,,,3.0,,2.0,2.0,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,1.0,7.0,,1.0,,,2.0,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,10.0,7.0,4.0,15.0,,,,,1.0,,,,,,,,,,,1.0,,,,,82.0
Guadalupe,,1.0,1.0,,1.0,8.0,4.0,,1.0,,8.0,4.0,2.0,,8.0,4.0,1.0,,9.0,,2.0,2.0,4.0,,,,2.0,,,,,1.0,2.0,,14.0,22.0,,,28.0,19.0,,,,,2.0,,,3.0,,6.0,17.0,2.0,16.0,29.0,,,,,,,,,,,,,3.0,7.0,2.0,,2.0,1.0,1.0,1.0,,,,,1.0,8.0,28.0,,1.0,,1.0,1.0,1.0,1.0,2.0,,,,,5.0,1.0,,2.0,1.0,,,,,1.0,1.0,3.0,2.0,,1.0,,,,,,,1.0,5.0,1.0,,1.0,23.0,,,,,3.0,,3.0,1.0,,2.0,,3.0,3.0,,,1.0,,,,1.0,,239.0,52.0,29.0,184.0,,,1.0,5.0,14.0,,8.0,12.0,1.0,2.0,,1.0,,,1.0,3.0,5.0,,,,906.0
Hale,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,5.0,2.0,,,,,,,,,,1.0,8.0,,2.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,3.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,2.0,3.0,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,45.0
Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0
Hamilton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,1.0,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,14.0
Hansford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
Hardeman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0
Hardin,,,,,,,,,,,,,,,2.0,3.0,,,1.0,,,,,,,1.0,,,,,,,1.0,,,1.0,,,3.0,,,,,,,,,,,1.0,,,3.0,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,5.0,9.0,,2.0,,2.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,2.0,1.0,,,,,,,,,31.0,3.0,2.0,16.0,,,,1.0,6.0,,3.0,1.0,,,1.0,,,,,,1.0,,,,111.0
Harris,19.0,43.0,7.0,4.0,34.0,162.0,118.0,,119.0,3.0,324.0,105.0,82.0,,239.0,217.0,21.0,44.0,408.0,9.0,160.0,170.0,317.0,23.0,22.0,89.0,206.0,,3.0,4.0,10.0,37.0,185.0,5.0,529.0,620.0,7.0,18.0,551.0,395.0,1.0,,,3.0,41.0,9.0,1.0,128.0,100.0,110.0,405.0,8.0,287.0,707.0,,2.0,,10.0,30.0,9.0,37.0,18.0,15.0,,,5.0,143.0,370.0,100.0,12.0,18.0,129.0,3.0,10.0,5.0,10.0,,,48.0,332.0,871.0,8.0,201.0,6.0,102.0,75.0,10.0,36.0,15.0,29.0,28.0,38.0,43.0,80.0,30.0,,86.0,55.0,1.0,,6.0,8.0,198.0,85.0,160.0,374.0,,27.0,55.0,13.0,14.0,,1.0,21.0,67.0,59.0,12.0,,112.0,597.0,,,,2.0,130.0,4.0,204.0,89.0,1.0,429.0,672.0,401.0,235.0,1.0,,18.0,1.0,,10.0,34.0,,8819.0,2493.0,1650.0,7531.0,10.0,,68.0,74.0,313.0,2.0,188.0,589.0,29.0,52.0,46.0,8.0,,6.0,108.0,159.0,306.0,,,,36620.0
Harrison,,1.0,,,,1.0,,,,,,,,,,1.0,,,3.0,,2.0,2.0,,,,,1.0,,,,,,,,,1.0,,,3.0,3.0,,,,,1.0,,,,,,4.0,,4.0,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,5.0,,,,,1.0,,,,,,,,3.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,4.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,27.0,15.0,9.0,24.0,1.0,,1.0,1.0,6.0,,3.0,1.0,,,,,,,,1.0,2.0,,,,141.0
Hartley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0
Haskell,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,6.0
Hays,2.0,7.0,,,3.0,15.0,17.0,,7.0,,20.0,5.0,7.0,,18.0,23.0,,5.0,49.0,1.0,13.0,17.0,26.0,1.0,,4.0,10.0,,,2.0,,1.0,8.0,1.0,48.0,67.0,,4.0,97.0,51.0,,,,2.0,3.0,,,23.0,2.0,14.0,38.0,,40.0,79.0,,,,1.0,4.0,3.0,,,1.0,,,,26.0,35.0,7.0,,4.0,5.0,1.0,2.0,,,,,3.0,11.0,55.0,,15.0,,10.0,19.0,2.0,6.0,4.0,2.0,,4.0,,7.0,5.0,,3.0,11.0,,,,1.0,8.0,6.0,2.0,7.0,,1.0,1.0,,1.0,,,4.0,4.0,7.0,1.0,,6.0,75.0,,,,,16.0,,6.0,3.0,,13.0,44.0,38.0,41.0,,,1.0,,,3.0,4.0,2.0,713.0,170.0,104.0,616.0,1.0,,5.0,12.0,43.0,1.0,31.0,56.0,5.0,7.0,4.0,1.0,1.0,1.0,10.0,11.0,30.0,,,,3093.0
Hemphill,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,5.0
Henderson,1.0,,,,,,2.0,,,,1.0,,,,2.0,1.0,,,1.0,,1.0,,1.0,,,,1.0,,,,,,3.0,,2.0,7.0,,,10.0,3.0,,,,,,,,3.0,,,6.0,1.0,6.0,2.0,,,,1.0,,,,,,,,,5.0,,,,,,,1.0,,,,,,2.0,8.0,,2.0,,2.0,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,,,,,,,1.0,,,1.0,,1.0,1.0,,,,,,,,,33.0,24.0,5.0,10.0,,,1.0,,6.0,1.0,3.0,4.0,,,,1.0,,,,1.0,1.0,,,,177.0
Hidalgo,2.0,1.0,,,2.0,10.0,9.0,,7.0,,11.0,4.0,1.0,1.0,29.0,20.0,2.0,1.0,26.0,2.0,8.0,9.0,33.0,1.0,,10.0,22.0,,,,2.0,3.0,22.0,3.0,20.0,32.0,,2.0,42.0,37.0,,1.0,,,4.0,,,10.0,7.0,10.0,53.0,1.0,17.0,82.0,1.0,,,1.0,1.0,3.0,,,1.0,,,,7.0,20.0,19.0,,,2.0,,,,,,1.0,4.0,100.0,198.0,,13.0,,3.0,8.0,,1.0,1.0,2.0,5.0,3.0,11.0,6.0,,,5.0,3.0,,,2.0,,4.0,4.0,5.0,14.0,,1.0,6.0,,,,,3.0,2.0,8.0,,,18.0,23.0,,,,,2.0,,10.0,5.0,,14.0,,6.0,7.0,,,3.0,,,,2.0,,610.0,111.0,101.0,461.0,,,3.0,7.0,29.0,,9.0,25.0,,7.0,5.0,,,,3.0,11.0,21.0,,,,2520.0
Hill,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,3.0,5.0,,,6.0,2.0,,,,,,,,2.0,1.0,,,,3.0,3.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,4.0,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,2.0,2.0,,,,,,,,,,,,,,,,1.0,,,,,,18.0,3.0,3.0,11.0,,,,,5.0,,3.0,,,,,,,,,,1.0,,,,89.0
Hockley,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,2.0,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,23.0
Hood,,1.0,1.0,,,1.0,4.0,,,,2.0,,,,2.0,2.0,,1.0,7.0,,,3.0,5.0,,,,1.0,,,,,,3.0,,3.0,12.0,,,8.0,6.0,,,,,2.0,,,4.0,,3.0,7.0,,7.0,6.0,,,,,,,,,,,,,1.0,8.0,1.0,,,1.0,1.0,1.0,,,,,,2.0,18.0,,9.0,1.0,1.0,3.0,,2.0,,,,1.0,1.0,6.0,2.0,,,1.0,,,,,,,,4.0,,,,,,,,1.0,,,,,2.0,9.0,,,,,,,1.0,,,1.0,,2.0,1.0,,,1.0,,,,,,74.0,19.0,8.0,48.0,,,,,7.0,,3.0,2.0,,,,,,,2.0,4.0,3.0,1.0,,,344.0
Hopkins,,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,4.0,,,2.0,3.0,,,,,,,,,,1.0,1.0,,3.0,1.0,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,4.0,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,28.0,5.0,2.0,8.0,,,,1.0,1.0,,,2.0,1.0,,,,,,,1.0,1.0,,,,81.0
Houston,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,1.0,2.0,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,3.0,,,4.0,,,,,,,,,,,,,,,,,,,,,16.0
Howard,,,,,,,,,,,,,,,1.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,3.0,7.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,,9.0,,,1.0,2.0,5.0,,,,,,1.0,,,,,,,,,,50.0
Hudspeth,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
Hunt,,,,,1.0,,,,,,,,,,2.0,,,,1.0,,,3.0,2.0,,,,,,,,,,2.0,,7.0,20.0,,1.0,19.0,7.0,,,,,2.0,,,3.0,,3.0,5.0,,7.0,11.0,,,,,1.0,,,,,,,,2.0,1.0,1.0,,,1.0,,,,,,,,3.0,11.0,,,,2.0,2.0,,,1.0,,,,,2.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,1.0,7.0,,,,,,,1.0,1.0,,1.0,,,,,,,,,,1.0,,82.0,18.0,7.0,50.0,,,1.0,,12.0,,1.0,4.0,1.0,,1.0,,,,,,,,,,315.0
Hutchinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,1.0,,,,,2.0,,1.0,,,,,,,,,,,,,,18.0
Irion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Jack,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,9.0
Jackson,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,,3.0,,,,,,,,,,,1.0,,,,,,,,,,12.0
Jasper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,5.0,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,1.0,4.0,,,,1.0,1.0,,1.0,1.0,,,1.0,,,,,,,,,,32.0
Jeff Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,12.0
Jefferson,,,,,,3.0,3.0,,,,2.0,,,,1.0,2.0,1.0,,12.0,,2.0,5.0,2.0,,,2.0,2.0,,,,,1.0,1.0,,22.0,9.0,,,14.0,13.0,,,,,2.0,1.0,,2.0,2.0,4.0,7.0,,8.0,4.0,,,,,2.0,1.0,,,1.0,,,,3.0,2.0,,,,,,,,,,,1.0,5.0,14.0,,10.0,,2.0,,1.0,,,2.0,1.0,1.0,,8.0,1.0,,1.0,,,,,,,,3.0,5.0,,1.0,,,,,,1.0,,1.0,,,2.0,7.0,,,,,,,,1.0,,1.0,,6.0,2.0,,,,,,,1.0,,107.0,38.0,28.0,103.0,,,2.0,2.0,5.0,,5.0,5.0,,1.0,,1.0,,,2.0,2.0,2.0,,,,517.0
Jim Hogg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0
Jim Wells,,,,,1.0,,,,,,,,,,,,,,1.0,,,2.0,1.0,,,1.0,,,,,,,,,,,,,2.0,1.0,,,,,,,,2.0,,,1.0,,,2.0,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,10.0,4.0,2.0,3.0,,,,,,,,2.0,,,,,,,,,,,,,43.0
Johnson,,,1.0,,,2.0,,,1.0,,3.0,1.0,,,4.0,4.0,,,4.0,,,2.0,6.0,,,1.0,2.0,,,,,2.0,2.0,,9.0,15.0,,,28.0,13.0,,,,,5.0,,,11.0,2.0,7.0,12.0,,11.0,24.0,,,,2.0,3.0,,,,,,,,4.0,8.0,1.0,,,,,,,,,,2.0,8.0,38.0,,14.0,,4.0,2.0,,,,1.0,,,1.0,3.0,,,1.0,3.0,,,,,3.0,1.0,2.0,2.0,,,2.0,1.0,,,,1.0,,5.0,1.0,,7.0,15.0,,,,,1.0,,,2.0,,6.0,9.0,4.0,7.0,1.0,,2.0,,,,1.0,,225.0,46.0,29.0,109.0,,,1.0,2.0,14.0,,5.0,15.0,,1.0,,,,,,2.0,3.0,,,,792.0
Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,2.0,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,2.0,,,,,1.0,,,1.0,,,,,,,,,,,,,17.0
Karnes,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,1.0,1.0,,,,,,,2.0,,,,,,,,,,,,,,20.0
Kaufman,,,1.0,,,3.0,2.0,,3.0,,2.0,1.0,2.0,,6.0,10.0,,,8.0,1.0,4.0,3.0,2.0,,,3.0,3.0,,,,,3.0,3.0,1.0,14.0,22.0,,,26.0,12.0,,,,,3.0,,,8.0,3.0,5.0,8.0,,13.0,38.0,,,,1.0,,1.0,,,1.0,,,,3.0,3.0,6.0,,,,,1.0,,,,,4.0,16.0,39.0,2.0,12.0,,6.0,,,,2.0,1.0,1.0,1.0,,3.0,1.0,,1.0,,,,1.0,3.0,,1.0,1.0,,,,,,,,,,,2.0,,,4.0,19.0,,,,,2.0,,2.0,4.0,,1.0,89.0,1.0,5.0,,,,,,,2.0,,265.0,51.0,15.0,209.0,,,2.0,2.0,15.0,,1.0,12.0,,,3.0,1.0,,,,,7.0,,,,1038.0
Kendall,,,1.0,,,3.0,4.0,,4.0,,9.0,6.0,3.0,,6.0,11.0,3.0,2.0,13.0,,1.0,6.0,4.0,1.0,1.0,1.0,4.0,,,,,,7.0,1.0,7.0,10.0,,,13.0,7.0,,,,,,,,3.0,,4.0,15.0,,6.0,19.0,,,,2.0,5.0,,,1.0,1.0,,,,2.0,6.0,2.0,,,,,,,,,,,7.0,14.0,,4.0,,,,,1.0,,,1.0,2.0,1.0,,1.0,,1.0,1.0,,,,,2.0,1.0,1.0,6.0,,2.0,1.0,,,,,,2.0,1.0,,,3.0,11.0,,,,,2.0,,5.0,1.0,,3.0,,9.0,7.0,,,,,,1.0,,,148.0,59.0,41.0,172.0,1.0,,2.0,2.0,8.0,,4.0,10.0,1.0,1.0,1.0,1.0,,,7.0,2.0,5.0,,,,750.0
Kent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Kerr,,1.0,,,,,,,1.0,,,,,,,1.0,,1.0,3.0,,,2.0,,,,1.0,,,,,,,2.0,,2.0,6.0,,,13.0,4.0,,,,,,1.0,,9.0,,2.0,5.0,1.0,2.0,11.0,,,,1.0,1.0,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,3.0,6.0,,,,,,,2.0,3.0,,1.0,,,5.0,1.0,,,,,,,,,,,1.0,,,2.0,,,,,1.0,1.0,1.0,,,,6.0,,,,,,,2.0,,,2.0,,,2.0,,,1.0,,,,,,28.0,13.0,4.0,22.0,,,,1.0,11.0,,1.0,1.0,,,1.0,,,,,1.0,,,,,196.0
Kimble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,3.0
