County,ACURA ZDX,ALFA ROMEO TONALE,AUDI A3,AUDI A7,AUDI A8,AUDI E-TRON,AUDI E-TRON GT,AUDI E-TRON SPORTBACK,AUDI Q4,AUDI Q5,AUDI Q8,AUDI RS E-TRON GT,BENTLEY BENTAYGA,BENTLEY FLYING SPUR,BMW 330E,BMW 530E,BMW 745E,BMW I3,BMW I4,BMW I5,BMW I7,BMW I8,BMW IX,BMW X3,BMW X5,BMW XM,BRIGHTDROP ZEVO,BYD ELECTRIC TRUCK TRACTOR,CADILLAC CT6,CADILLAC ELR,CADILLAC LYRIQ,CHEVROLET BLAZER EV,CHEVROLET BOLT EUV,CHEVROLET BOLT EV,CHEVROLET EQUINOX EV,CHEVROLET SILVERADO EV,CHEVROLET SPARK,CHEVROLET VOLT,CHRYSLER PACIFICA,CODA CODA,DODGE HORNET,FERRARI 296 GTB,FERRARI 296 GTS,FERRARI SF90 STRADALE,FIAT 500,FIAT 500E,FISKER KARMA,FISKER OCEAN,FORD C-MAX,FORD ESCAPE,FORD F-150,FORD FOCUS,FORD FUSION,FORD MUSTANG MACH-E,FORD RANGER,FORD TRANSIT,FREIGHTLINER ECASCADIA 116” DAY CAB,GEM GEM,GENESIS G80,GENESIS GV60,GENESIS GV70,GILLIG LOW FLOOR BUS,GMC HUMMER EV PICKUP,GMC HUMMER EV SUV,GREENPOWER MOTOR COMPANY INC. EV STAR,HONDA ACCORD,HONDA CLARITY,HONDA PROLOGUE,HYUNDAI IONIQ,HYUNDAI IONIQ 5,HYUNDAI IONIQ 5 N,HYUNDAI IONIQ 6,HYUNDAI KONA ELECTRIC,HYUNDAI SANTA FE,HYUNDAI SONATA,HYUNDAI TUCSON,IC BUS PB10E,INTERNATIONAL MV60E,JAGUAR I-PACE,JEEP GRAND CHEROKEE,JEEP WRANGLER,KARMA REVERO,KIA EV6,KIA EV9,KIA NIRO,KIA OPTIMA,KIA SORENTO,KIA SOUL EV,KIA SPORTAGE,LAND ROVER RANGE ROVER,LEXUS NX,LEXUS RZ,LEXUS TX,LINCOLN AVIATOR,LINCOLN CORSAIR,LION LIONC (V2),LUCID AIR,MAZDA CX-70,MAZDA CX-90,MAZDA MX-30,MCLAREN P1,MERCEDES-BENZ B-CLASS,MERCEDES-BENZ C-CLASS,MERCEDES-BENZ EQB-CLASS,MERCEDES-BENZ EQE-CLASS SEDAN,MERCEDES-BENZ EQE-CLASS SUV,MERCEDES-BENZ EQS-CLASS SEDAN,MERCEDES-BENZ EQS-CLASS SUV,MERCEDES-BENZ ESPRINTER,MERCEDES-BENZ GLC-CLASS,MERCEDES-BENZ GLE-CLASS,MERCEDES-BENZ S-CLASS,MILES ZX50S AD,MINI COUNTRYMAN,MINI HARDTOP,MITSUBISHI I-MIEV,MITSUBISHI OUTLANDER,NEW FLYER XCELSIOR,NISSAN ARIYA,NISSAN LEAF,PETERBILT 220,PETERBILT 579,POLESTAR PS1,POLESTAR PS2,PORSCHE 918,PORSCHE CAYENNE,PORSCHE PANAMERA,PORSCHE TAYCAN,RIVIAN EDV,RIVIAN R1S,RIVIAN R1T,ROLLS ROYCE SPECTRE,SMART EQ FORTWO,SMART FORTWO ELECTRIC DRIVE,SMITH ELECTRIC VEHICLES SMITH ELECTRIC VEHICLES,SUBARU CROSSTREK,SUBARU SOLTERRA,TESLA CYBERTRUCK,TESLA MODEL 3,TESLA MODEL S,TESLA MODEL X,TESLA MODEL Y,TESLA ROADSTER,TESLA SEMI,TOYOTA BZ4X,TOYOTA PRIUS PLUG-IN,TOYOTA PRIUS PRIME,TOYOTA RAV4,TOYOTA RAV4 PRIME,VINFAST VF 8,VOLKSWAGEN E-GOLF,VOLKSWAGEN ID.4,VOLVO C40,VOLVO S60,VOLVO S90,VOLVO TRUCK VNR,VOLVO V60,VOLVO XC40,VOLVO XC60,VOLVO XC90,WHEEGO ELECTRIC CARS WHEEGO,XOS MDXT,XOS SV01,Grand Total
Cherokee,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,1.0,,,,,,2.0,1.0,,4.0,,,,8.0,6.0,,,,,,1.0,,,,,,3.0,,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,1.0,1.0,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,16.0,5.0,4.0,12.0,,,,,3.0,,,,,,,,,,,,,1.0,,,,89.0
Childress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,7.0
Clay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,16.0
Coke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0
Coleman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,6.0
Collin,,,9.0,6.0,1.0,177.0,63.0,63.0,118.0,80.0,82.0,6.0,1.0,3.0,133.0,169.0,12.0,144.0,265.0,39.0,24.0,38.0,190.0,28.0,280.0,6.0,,,3.0,5.0,182.0,9.0,188.0,231.0,,,11.0,323.0,317.0,,1.0,3.0,,,44.0,,5.0,29.0,55.0,35.0,176.0,15.0,156.0,492.0,,34.0,,7.0,1.0,29.0,16.0,,23.0,28.0,,3.0,123.0,5.0,16.0,147.0,,83.0,29.0,5.0,6.0,3.0,,,25.0,122.0,360.0,3.0,167.0,50.0,106.0,2.0,36.0,10.0,26.0,12.0,41.0,50.0,3.0,49.0,13.0,,96.0,,54.0,1.0,,7.0,9.0,84.0,62.0,94.0,211.0,3.0,,21.0,55.0,9.0,,13.0,29.0,9.0,53.0,,93.0,376.0,,,,74.0,,91.0,54.0,216.0,289.0,252.0,127.0,2.0,,12.0,,4.0,44.0,74.0,6738.0,1526.0,1286.0,9519.0,6.0,,40.0,55.0,233.0,2.0,122.0,4.0,16.0,320.0,35.0,33.0,3.0,,3.0,63.0,117.0,217.0,,,,28706.0
Collingsworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0
Colorado,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,1.0,,4.0,,3.0,2.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,2.0,4.0,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,2.0,,,,,,,,10.0,4.0,3.0,9.0,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,60.0
Comal,,,4.0,,,14.0,14.0,6.0,14.0,15.0,16.0,,,,14.0,14.0,1.0,17.0,14.0,3.0,,1.0,3.0,1.0,29.0,,,,2.0,2.0,15.0,1.0,19.0,40.0,,,2.0,41.0,43.0,,,,,,1.0,,1.0,2.0,14.0,6.0,57.0,,23.0,55.0,,,,2.0,,,,,3.0,7.0,,,7.0,,4.0,16.0,1.0,5.0,8.0,2.0,1.0,,,,2.0,14.0,69.0,,12.0,3.0,8.0,,5.0,2.0,6.0,2.0,4.0,3.0,,13.0,4.0,,4.0,,9.0,,,1.0,1.0,4.0,,1.0,9.0,,,1.0,1.0,1.0,,3.0,6.0,1.0,7.0,,14.0,17.0,,,,10.0,,6.0,6.0,6.0,,30.0,16.0,,,5.0,,,4.0,15.0,485.0,140.0,76.0,476.0,1.0,,1.0,5.0,31.0,,24.0,,1.0,16.0,4.0,2.0,1.0,,,9.0,11.0,16.0,,,,2184.0
Comanche,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,6.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,19.0
Concho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
Cooke,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,1.0,,,,,,4.0,,1.0,1.0,,,,5.0,2.0,,,,,,1.0,,,,1.0,3.0,2.0,,6.0,7.0,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,1.0,,,2.0,,,,,,,,1.0,,2.0,2.0,,,,,,,,20.0,12.0,8.0,17.0,,,,,3.0,1.0,1.0,,,,,1.0,,,,1.0,,1.0,,,,124.0
Coryell,,2.0,,,,3.0,,,,,,,,,8.0,3.0,,4.0,,,,,,,2.0,,,,,,1.0,1.0,3.0,1.0,,,1.0,14.0,5.0,,,,,,,,,,2.0,1.0,1.0,,9.0,7.0,,1.0,,3.0,,,,,1.0,,,,3.0,,,4.0,,2.0,1.0,,,,,,1.0,7.0,7.0,,1.0,,5.0,,2.0,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,2.0,,2.0,8.0,,,,,,,,,,1.0,,,,,,,1.0,1.0,52.0,6.0,5.0,28.0,,,1.0,2.0,4.0,,,,,4.0,,1.0,,,,,1.0,2.0,,,,231.0
Crockett,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,6.0
Crosby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,6.0
Culbertson,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,,,,,,,,3.0,,1.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,,16.0
Dallam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,18.0
Dallas,,8.0,29.0,4.0,,197.0,65.0,68.0,149.0,153.0,115.0,5.0,7.0,2.0,169.0,226.0,17.0,231.0,276.0,61.0,36.0,57.0,197.0,42.0,348.0,12.0,,,9.0,25.0,277.0,11.0,276.0,555.0,1.0,23.0,10.0,440.0,365.0,,,3.0,,3.0,71.0,1.0,9.0,33.0,84.0,77.0,277.0,8.0,172.0,883.0,,121.0,1.0,6.0,3.0,52.0,16.0,,32.0,35.0,2.0,4.0,102.0,3.0,14.0,278.0,,74.0,111.0,5.0,9.0,3.0,,1.0,41.0,657.0,877.0,3.0,210.0,31.0,249.0,10.0,28.0,16.0,24.0,41.0,37.0,77.0,1.0,43.0,23.0,,135.0,1.0,42.0,,1.0,5.0,13.0,103.0,78.0,121.0,264.0,6.0,,19.0,52.0,9.0,,12.0,51.0,7.0,70.0,,109.0,437.0,,5.0,1.0,123.0,3.0,157.0,95.0,416.0,100.0,453.0,182.0,4.0,,30.0,,3.0,35.0,123.0,6633.0,2069.0,1166.0,6245.0,5.0,,49.0,48.0,264.0,,129.0,2.0,24.0,281.0,46.0,38.0,14.0,,5.0,115.0,147.0,292.0,,2.0,,30166.0
Dawson,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,11.0
Deaf Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,20.0
Delta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,4.0,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,14.0
Denton,,5.0,13.0,4.0,1.0,110.0,22.0,25.0,74.0,65.0,42.0,2.0,1.0,2.0,93.0,116.0,9.0,105.0,211.0,34.0,24.0,35.0,155.0,15.0,205.0,2.0,,,3.0,9.0,157.0,14.0,130.0,231.0,,1.0,7.0,250.0,214.0,,2.0,1.0,,3.0,40.0,,1.0,24.0,59.0,33.0,159.0,4.0,145.0,459.0,,23.0,,4.0,1.0,14.0,4.0,,17.0,36.0,,,56.0,1.0,4.0,156.0,2.0,36.0,19.0,6.0,5.0,6.0,,,26.0,83.0,319.0,4.0,117.0,40.0,75.0,3.0,31.0,8.0,16.0,7.0,5.0,40.0,,43.0,11.0,,53.0,,46.0,1.0,,4.0,6.0,63.0,35.0,61.0,122.0,2.0,,10.0,25.0,6.0,,6.0,28.0,6.0,57.0,,46.0,316.0,1.0,,1.0,77.0,,66.0,30.0,159.0,156.0,192.0,142.0,3.0,,10.0,,1.0,22.0,64.0,4621.0,1112.0,887.0,6272.0,2.0,,27.0,25.0,149.0,4.0,89.0,,12.0,217.0,22.0,22.0,7.0,,3.0,42.0,90.0,160.0,,,,20114.0
Dewitt,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,3.0,6.0,1.0,5.0,,,,,,,,,,1.0,,,,,,,,,,,,25.0
Dickens,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
Dimmit,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0
Donley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Duval,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,8.0
Eastland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,5.0,,2.0,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,6.0,1.0,,1.0,,,,,3.0,,,,,1.0,,,,,,,,,,,,28.0
Ector,,,,,,,,,,,1.0,,,,10.0,7.0,,2.0,,,,3.0,2.0,,5.0,3.0,,,,,4.0,,4.0,3.0,,,,6.0,4.0,,,,,,,,,,1.0,2.0,10.0,,,15.0,,1.0,,,,,,,2.0,3.0,,,3.0,,,8.0,,4.0,1.0,,,,,,,11.0,11.0,2.0,4.0,,1.0,,,,,1.0,,,,6.0,3.0,,,,,,,,,1.0,1.0,1.0,,,,1.0,4.0,1.0,,,,,3.0,,,3.0,,,,,,,,3.0,,,,,,,,,,6.0,52.0,16.0,11.0,44.0,,,,1.0,6.0,,1.0,,,3.0,,,,,,,1.0,,,,,302.0
Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,3.0
El Paso,,,1.0,,,22.0,12.0,17.0,24.0,15.0,9.0,1.0,,,39.0,38.0,4.0,44.0,53.0,8.0,4.0,15.0,20.0,6.0,41.0,7.0,,,,9.0,52.0,11.0,45.0,76.0,,3.0,9.0,106.0,81.0,,,1.0,,,15.0,,1.0,2.0,21.0,16.0,74.0,3.0,63.0,158.0,,46.0,,2.0,1.0,2.0,,,6.0,13.0,1.0,3.0,18.0,1.0,7.0,57.0,,40.0,11.0,1.0,2.0,2.0,,,7.0,100.0,206.0,,42.0,11.0,34.0,5.0,9.0,3.0,6.0,5.0,7.0,12.0,,15.0,3.0,,7.0,,17.0,,,5.0,3.0,8.0,1.0,9.0,18.0,,,3.0,5.0,2.0,,6.0,6.0,1.0,16.0,,68.0,117.0,,,,9.0,,22.0,5.0,54.0,,19.0,16.0,,,10.0,,4.0,14.0,23.0,1065.0,173.0,132.0,805.0,,,19.0,8.0,65.0,1.0,40.0,,8.0,104.0,12.0,6.0,1.0,,1.0,21.0,37.0,31.0,,,,4801.0
Ellis,,,1.0,,,8.0,4.0,,3.0,4.0,1.0,,,1.0,6.0,13.0,,6.0,15.0,4.0,,7.0,6.0,1.0,11.0,,,,,3.0,19.0,4.0,13.0,25.0,,,,40.0,17.0,,,,,,1.0,,1.0,2.0,10.0,10.0,20.0,1.0,18.0,54.0,,1.0,,2.0,1.0,1.0,1.0,,4.0,5.0,,,3.0,,1.0,10.0,,2.0,1.0,,,,,,3.0,10.0,37.0,,13.0,4.0,7.0,1.0,1.0,1.0,1.0,3.0,,1.0,,2.0,,,4.0,,5.0,,,,1.0,4.0,4.0,3.0,11.0,,,2.0,,,,,4.0,,4.0,,9.0,26.0,,,,8.0,,,3.0,8.0,,7.0,12.0,,,1.0,,1.0,1.0,7.0,321.0,84.0,45.0,248.0,,,5.0,,16.0,1.0,6.0,,1.0,22.0,2.0,1.0,1.0,,1.0,,5.0,6.0,,,,1335.0
Erath,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,1.0,,1.0,4.0,,,,4.0,2.0,,,,,,1.0,,,,2.0,2.0,4.0,,3.0,6.0,,1.0,,,,,,,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,3.0,3.0,,2.0,,2.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,1.0,,,,,,,,,,,14.0,5.0,2.0,9.0,,,,,3.0,,1.0,,2.0,,,,,,,,,1.0,,,,92.0
Falls,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,4.0,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,15.0
Fannin,,,1.0,,,,,,,,,,,,3.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,5.0,,,,6.0,1.0,,,,,,,,,,,1.0,,,2.0,2.0,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,1.0,2.0,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,20.0,3.0,4.0,9.0,,,,,1.0,,,,,,,,,,,,,2.0,,,,77.0
Fayette,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,3.0,,2.0,,,,,,,,,,,,,4.0,,,2.0,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,1.0,4.0,,,,2.0,,,,,,,,,1.0,3.0,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,14.0,1.0,1.0,17.0,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,69.0
Fisher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
Floyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,9.0
Foard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,8.0
Fort Bend,,8.0,7.0,4.0,1.0,88.0,52.0,20.0,81.0,37.0,54.0,,1.0,,61.0,76.0,10.0,67.0,134.0,23.0,22.0,38.0,92.0,14.0,124.0,10.0,,,1.0,11.0,144.0,9.0,83.0,103.0,,1.0,6.0,105.0,143.0,,,1.0,1.0,1.0,4.0,,4.0,24.0,28.0,24.0,139.0,4.0,50.0,275.0,,15.0,,,1.0,4.0,6.0,,12.0,22.0,,,67.0,4.0,2.0,149.0,,72.0,15.0,4.0,4.0,1.0,,,14.0,58.0,207.0,2.0,88.0,39.0,56.0,2.0,16.0,7.0,7.0,9.0,6.0,52.0,2.0,35.0,13.0,,32.0,,34.0,,,7.0,7.0,70.0,28.0,74.0,144.0,4.0,1.0,7.0,44.0,11.0,,3.0,13.0,,28.0,,93.0,152.0,,,1.0,40.0,,48.0,24.0,140.0,2.0,124.0,64.0,3.0,,8.0,,2.0,12.0,63.0,3745.0,853.0,804.0,5491.0,1.0,,23.0,23.0,82.0,1.0,71.0,,3.0,213.0,12.0,18.0,2.0,,2.0,18.0,41.0,87.0,,,,15949.0
Franklin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,5.0,1.0,,1.0,,,,1.0,1.0,,,,,,,,1.0,,,,1.0,,,,,21.0
Freestone,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,8.0,3.0,,6.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,33.0
Frio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,15.0
Gains,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,4.0,5.0,,4.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,32.0
