County,Alfa Romeo Tonale,Audi A3 Plug In,Audi A7 Plug In,Audi A8 Plug In,Audi Q4 Sportback e-tron,Audi Q4 e-tron,Audi Q5 Plug In,Audi Q8 Sportback e-tron,Audi Q8 e-tron,Audi RS e-tron GT,Audi e-tron,Audi e-tron GT,Audi e-tron Sportback,BMW 3-Series Plug in,BMW 5-Series Plug in,BMW 7-Series Plug in,BMW X3,BMW X5,BMW XM,BMW i3,BMW i3 REx,BMW i4,BMW i5,BMW i7,BMW i8,BMW iX,BYD 8TT,Bentley Bentayga Hybrid,Bentley Flying Spur Hybrid,BrightDrop EV600,Cadillac CT6,Cadillac ELR,Cadillac Lyriq,Chevrolet Blazer EV,Chevrolet Bolt EUV,Chevrolet Bolt EV,Chevrolet Silverado EV,Chevrolet Spark,Chevrolet Volt,Chrysler Pacifica,Coda EV,Dodge Hornet,E-Ride EXV,Ferrari SF90 Stradale,Fiat 500e,Fisker Karma,Fisker Ocean,Ford C-Max Energi,Ford E-Transit,Ford Escape Plug-in Hybrid,Ford F-150 Lightning,Ford Focus EV,Ford Fusion Energi,Ford Mustang Mach-E,Ford Ranger,Ford Think Neighbor,Freightliner eCascadia,GEM NEV,GMC Hummer EV Pickup,GMC Hummer EV SUV,Genesis G80 EV,Genesis GV60 EV,Genesis GV70 EV,Gillig Battery Electric Bus,GreenPower EV Star,Honda Accord Plug In,Honda Clarity Plug In,Hyundai Ioniq 5,Hyundai Ioniq 6,Hyundai Ioniq EV,Hyundai Ioniq Plug In,Hyundai Kona Electric,Hyundai Santa Fe Plug In,Hyundai Sonata Plug In,Hyundai Tucson Plug In,IC Bus CE Electric Bus,International MV60E,Jaguar I-PACE,Jaguar I-Pace,Jeep Grand Cherokee Plug In,Jeep Wrangler 4xe,Karma Revero,Kia EV6,Kia EV9,Kia Niro EV,Kia Niro Plug In,Kia Optima Plug In,Kia Sorento Plug In,Kia Soul EV,Kia Sportage Plug-In,Land Rover Range Rover Plug In,Lexus NX 450h+,Lexus RZ 450e,Lexus TX 500h,Lincoln Aviator Plug In,Lincoln Corsair,Lion LionC Bus,Lucid Air,Mazda CX-90,Mazda MX-30,Mclaren P1,Mercedes B-Class Electric,Mercedes C350e Plug In,Mercedes EQB,Mercedes EQE,Mercedes EQE SUV,Mercedes EQS,Mercedes EQS SUV,Mercedes GLC 350e Hybrid,Mercedes GLE 450e,Mercedes GLE55e,Mercedes S550e,Mercedes S560e,Mercedes S580e,Miles ZX40ST,Mini Cooper SE Countryman,Mini Cooper SE Hardtop 2 Door,Mitsubishi Outlander Plug In,Mitsubishi i,New Flyer Xcelsior CHARGE,Nissan Ariya,Nissan Leaf,Peterbilt 220EV,Peterbilt 579EV,Polestar 1,Polestar 2,Porsche 918 Spyder,Porsche Cayenne S E-Hybrid,Porsche Panamera S E-Hybrid,Porsche Panamera Turbo S E-Hybrid,Porsche Taycan,Rivian EDV,Rivian R1S,Rivian R1T,Rolls Royce Spectre,Smart EQ ForTwo,Smart forTwo EV,Smart forTwo EV Cabrio,Smith EV,Subaru Crosstrek Hybrid,Subaru Solterra,Tesla Cybertruck,Tesla Model 3,Tesla Model S,Tesla Model X,Tesla Model Y,Tesla Roadster,Tesla Semi,Toyota BZ4X,Toyota Prius Plug-in,Toyota Prius Prime,Toyota RAV4 EV,Toyota RAV4 Prime,VinFast VF 8,Volkswagen ID.4,Volkswagen e-Golf,Volvo C40 Recharge,Volvo S60 Plug In,Volvo S90 Plug In,Volvo Trucks VNR Electric Truck,Volvo V60 Plug In,Volvo XC40 Recharge,Volvo XC60 Plug-In,Volvo XC90 Plug-In,Wheego Life,Xos MDXT,Xos SV,Grand Total
Cherokee,,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,,1.0,1.0,,,,,,,,3.0,1.0,,4.0,,,8.0,6.0,,,,,1.0,,,,,,3.0,,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,1.0,1.0,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,3.0,17.0,5.0,4.0,13.0,,,,,3.0,,,,,,,,,,,,,1.0,,,,97.0
Childress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,8.0
Clay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,18.0
Coke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0
Coleman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,7.0
Collin,4.0,9.0,6.0,1.0,16.0,94.0,73.0,2.0,84.0,6.0,176.0,59.0,62.0,129.0,171.0,13.0,29.0,267.0,6.0,58.0,78.0,278.0,44.0,27.0,40.0,184.0,,2.0,2.0,,3.0,5.0,241.0,37.0,176.0,223.0,3.0,11.0,324.0,327.0,,2.0,,,41.0,5.0,31.0,54.0,35.0,40.0,179.0,14.0,156.0,550.0,,1.0,,6.0,29.0,38.0,2.0,32.0,19.0,,,2.0,124.0,156.0,92.0,8.0,9.0,28.0,5.0,5.0,3.0,,,2.0,25.0,109.0,378.0,3.0,178.0,70.0,72.0,43.0,2.0,43.0,11.0,34.0,13.0,40.0,32.0,4.0,56.0,13.0,,100.0,67.0,1.0,,7.0,9.0,100.0,56.0,87.0,169.0,4.0,19.0,53.0,4.0,7.0,1.0,1.0,,12.0,31.0,59.0,9.0,,97.0,379.0,,,,90.0,,97.0,55.0,,219.0,288.0,258.0,140.0,2.0,,11.0,,,4.0,50.0,149.0,6879.0,1532.0,1301.0,10176.0,6.0,,42.0,56.0,231.0,2.0,133.0,4.0,316.0,18.0,36.0,28.0,4.0,,3.0,62.0,122.0,234.0,,,,29884.0
Collingsworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0
Colorado,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,1.0,,,7.0,,3.0,2.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,2.0,6.0,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,2.0,,,,,,,,1.0,10.0,4.0,3.0,11.0,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,71.0
Comal,,4.0,,,3.0,11.0,14.0,,16.0,,14.0,11.0,7.0,11.0,14.0,1.0,1.0,29.0,,10.0,6.0,12.0,4.0,,1.0,3.0,,,,,2.0,2.0,19.0,3.0,18.0,39.0,,2.0,40.0,50.0,,2.0,,,1.0,1.0,2.0,12.0,1.0,7.0,50.0,,22.0,66.0,,,,1.0,3.0,8.0,,,,,,,7.0,20.0,7.0,1.0,3.0,7.0,2.0,1.0,,,,,2.0,12.0,69.0,,13.0,3.0,4.0,5.0,,6.0,1.0,7.0,1.0,4.0,2.0,,15.0,6.0,,4.0,9.0,,,1.0,1.0,3.0,,2.0,11.0,,1.0,1.0,,1.0,,,,3.0,5.0,8.0,1.0,,19.0,16.0,,,,10.0,,6.0,7.0,,6.0,,32.0,18.0,,,5.0,,,,6.0,32.0,503.0,145.0,82.0,508.0,1.0,,5.0,6.0,34.0,,24.0,,18.0,1.0,4.0,2.0,1.0,,1.0,10.0,10.0,18.0,,,,2302.0
Comanche,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,1.0,,,,,,,,,,,6.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,20.0
Concho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
Cooke,,,,,,,1.0,,,,,,,,1.0,,,1.0,,1.0,2.0,,,,,,,,,,,,4.0,1.0,1.0,2.0,,,5.0,2.0,,,,,1.0,,,1.0,,4.0,3.0,,6.0,6.0,,,,,2.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,2.0,,,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,3.0,,,,1.0,,,,,1.0,,2.0,2.0,,,,,,,,1.0,19.0,11.0,6.0,18.0,,,,,3.0,1.0,1.0,,1.0,,,1.0,,,,1.0,,1.0,,,,135.0
Coryell,2.0,,,,,,,,,,3.0,,,8.0,2.0,1.0,,2.0,,,4.0,1.0,,,,,,,,,,,1.0,1.0,5.0,1.0,,1.0,14.0,6.0,,,,,,,,2.0,1.0,2.0,2.0,,9.0,9.0,,,,3.0,1.0,1.0,,,,,,,3.0,4.0,2.0,,,1.0,,,,,,,1.0,4.0,7.0,,3.0,,4.0,,,2.0,,1.0,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,2.0,,,1.0,8.0,,,,,,,,,,,1.0,,,,,,,,2.0,3.0,57.0,7.0,4.0,29.0,,,2.0,2.0,5.0,,,,5.0,,,1.0,,,,1.0,1.0,2.0,,,,251.0
Crane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Crockett,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,7.0
Crosby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,6.0
Culbertson,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,,,,,,,,,3.0,,1.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,,16.0
Dallam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,20.0
Dallas,9.0,34.0,4.0,,25.0,115.0,162.0,5.0,121.0,5.0,189.0,71.0,66.0,165.0,220.0,20.0,44.0,331.0,14.0,114.0,120.0,303.0,72.0,41.0,56.0,201.0,,7.0,4.0,,10.0,23.0,332.0,33.0,269.0,558.0,28.0,11.0,436.0,367.0,,3.0,,3.0,70.0,9.0,35.0,80.0,118.0,80.0,205.0,8.0,175.0,936.0,,,1.0,6.0,38.0,47.0,3.0,58.0,21.0,,,6.0,101.0,297.0,82.0,7.0,8.0,116.0,6.0,9.0,5.0,,1.0,1.0,39.0,651.0,893.0,5.0,222.0,75.0,193.0,56.0,10.0,32.0,16.0,25.0,45.0,37.0,44.0,1.0,44.0,23.0,,144.0,46.0,,1.0,4.0,13.0,132.0,81.0,131.0,260.0,7.0,20.0,49.0,8.0,4.0,1.0,7.0,,12.0,55.0,67.0,7.0,,112.0,435.0,,5.0,1.0,143.0,3.0,172.0,90.0,2.0,415.0,98.0,453.0,182.0,4.0,,26.0,2.0,,3.0,47.0,202.0,6742.0,2039.0,1133.0,6533.0,5.0,,66.0,48.0,266.0,,138.0,2.0,282.0,23.0,48.0,40.0,13.0,,6.0,117.0,157.0,299.0,,2.0,,30934.0
Dawson,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,13.0
Deaf Smith,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,2.0,,5.0,,,,,,,,,,,,,,,,,,,,,,23.0
Delta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,4.0,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,14.0
Denton,6.0,13.0,4.0,1.0,13.0,57.0,68.0,,44.0,2.0,109.0,22.0,25.0,82.0,119.0,10.0,16.0,197.0,4.0,50.0,54.0,221.0,44.0,27.0,32.0,152.0,,1.0,2.0,,3.0,9.0,186.0,35.0,130.0,227.0,3.0,7.0,242.0,226.0,,3.0,,3.0,37.0,1.0,24.0,58.0,25.0,38.0,154.0,4.0,149.0,494.0,,,,4.0,23.0,45.0,1.0,17.0,4.0,,,,56.0,168.0,43.0,1.0,4.0,21.0,7.0,5.0,7.0,,,2.0,28.0,79.0,333.0,4.0,139.0,57.0,49.0,32.0,3.0,37.0,7.0,18.0,10.0,7.0,25.0,,49.0,13.0,,59.0,56.0,1.0,,5.0,6.0,75.0,36.0,68.0,121.0,4.0,10.0,22.0,7.0,5.0,,1.0,,6.0,31.0,61.0,6.0,,47.0,316.0,1.0,,1.0,81.0,,73.0,29.0,,160.0,234.0,192.0,139.0,4.0,,10.0,,,2.0,26.0,132.0,4753.0,1116.0,903.0,6748.0,1.0,,37.0,25.0,139.0,4.0,89.0,,220.0,11.0,25.0,27.0,8.0,,2.0,45.0,96.0,169.0,,,,21176.0
Dewitt,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,3.0,7.0,1.0,6.0,,,,,,,,,1.0,,,,,,,,,,,,,27.0
Dickens,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
Dimmit,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0
Donley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Duval,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,11.0
Eastland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,4.0,,1.0,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,3.0,7.0,1.0,,1.0,,,,,3.0,,,,1.0,,,,,,,,,,,,,31.0
Ector,,,,,,,,,2.0,,,,,8.0,6.0,,,4.0,4.0,1.0,1.0,2.0,,,4.0,1.0,,,,,,,6.0,3.0,5.0,2.0,,,8.0,5.0,,,,,1.0,,,2.0,1.0,2.0,13.0,,,17.0,,,,,3.0,4.0,,,,,,,2.0,8.0,5.0,,,1.0,,,,,,,,10.0,10.0,2.0,4.0,,,1.0,,,,1.0,1.0,,,,6.0,2.0,,,,,,,,1.0,1.0,1.0,,,1.0,2.0,2.0,,,1.0,,,,3.0,,,,3.0,,,,,,,1.0,,3.0,,,1.0,,,,,,,,7.0,55.0,19.0,12.0,49.0,,,,1.0,6.0,,1.0,,3.0,,,,,,,,,,,,,331.0
Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,3.0
El Paso,,1.0,,,5.0,14.0,14.0,,9.0,1.0,23.0,14.0,16.0,38.0,38.0,4.0,5.0,40.0,8.0,24.0,25.0,63.0,9.0,4.0,15.0,19.0,,,,,,9.0,68.0,13.0,46.0,77.0,3.0,11.0,104.0,84.0,,,,,15.0,1.0,2.0,22.0,46.0,16.0,77.0,3.0,61.0,170.0,,,,2.0,11.0,15.0,1.0,2.0,,,1.0,5.0,20.0,64.0,45.0,4.0,4.0,11.0,2.0,2.0,3.0,,,,7.0,97.0,210.0,,47.0,15.0,20.0,17.0,5.0,10.0,2.0,6.0,5.0,8.0,10.0,,15.0,2.0,,7.0,20.0,,,4.0,3.0,8.0,1.0,9.0,14.0,,3.0,5.0,,2.0,,,,6.0,7.0,17.0,1.0,,67.0,108.0,,,,10.0,,24.0,5.0,,54.0,,19.0,18.0,,,11.0,,,4.0,18.0,55.0,1160.0,180.0,143.0,932.0,,,20.0,9.0,63.0,1.0,43.0,,109.0,9.0,14.0,7.0,2.0,,1.0,24.0,35.0,32.0,,,,5169.0
Ellis,,,,,,3.0,4.0,,1.0,,7.0,3.0,,5.0,12.0,,1.0,10.0,,2.0,3.0,14.0,4.0,,8.0,8.0,,,1.0,,,3.0,25.0,8.0,14.0,22.0,,,41.0,20.0,,,,,1.0,1.0,2.0,10.0,1.0,10.0,19.0,1.0,17.0,58.0,,1.0,,2.0,5.0,6.0,1.0,1.0,1.0,,,,3.0,10.0,2.0,1.0,1.0,1.0,,,,,,1.0,2.0,11.0,39.0,,15.0,5.0,6.0,,1.0,2.0,1.0,1.0,3.0,1.0,1.0,,3.0,,,5.0,5.0,,,,1.0,4.0,5.0,4.0,12.0,,2.0,,,,,,,,4.0,4.0,1.0,,7.0,28.0,,,,8.0,,1.0,4.0,,8.0,,7.0,14.0,,,2.0,,,1.0,1.0,9.0,335.0,87.0,49.0,282.0,,,7.0,,19.0,1.0,9.0,,22.0,1.0,2.0,1.0,1.0,,1.0,,6.0,9.0,,,,1435.0
Erath,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,1.0,,1.0,4.0,,,3.0,2.0,,,,,1.0,,,2.0,1.0,2.0,4.0,,3.0,8.0,,,,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,2.0,3.0,,2.0,,,2.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,1.0,,,,,,,,,,,,15.0,4.0,2.0,12.0,,,,,3.0,,1.0,,,2.0,,,,,,,,1.0,,,,94.0
Falls,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,4.0,,,3.0,,,,,1.0,,,,,,,,,,,,,,,,,16.0
Fannin,,1.0,,,,,,,,,,,,3.0,1.0,,,,,,,1.0,,,,,,,,,,,1.0,,,5.0,,,6.0,1.0,,,,,,,,,,1.0,,,2.0,2.0,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,2.0,,5.0,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,20.0,3.0,4.0,9.0,,,,,1.0,,,,,,,,,,,,,2.0,,,,77.0
Fayette,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,1.0,,3.0,,2.0,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,3.0,,,,2.0,,,,,,,,,,1.0,3.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,14.0,1.0,1.0,18.0,,,,,1.0,,2.0,,1.0,,,,,,,,1.0,,,,,67.0
Fisher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
Floyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,2.0,,,,,,,,,,,,,1.0,,,,13.0
Foard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,8.0
Fort Bend,8.0,7.0,5.0,1.0,17.0,54.0,38.0,1.0,58.0,,95.0,53.0,24.0,62.0,77.0,10.0,14.0,117.0,11.0,29.0,35.0,148.0,29.0,27.0,39.0,91.0,,1.0,,,1.0,11.0,189.0,15.0,87.0,100.0,1.0,6.0,106.0,144.0,,,2.0,1.0,5.0,3.0,24.0,28.0,14.0,26.0,154.0,3.0,45.0,286.0,,,,1.0,16.0,34.0,2.0,7.0,10.0,,,,67.0,176.0,81.0,1.0,1.0,19.0,4.0,4.0,2.0,,,1.0,14.0,50.0,229.0,2.0,98.0,53.0,42.0,15.0,1.0,16.0,7.0,8.0,9.0,6.0,37.0,2.0,40.0,13.0,,38.0,36.0,,,7.0,7.0,62.0,29.0,81.0,140.0,11.0,8.0,46.0,5.0,6.0,1.0,3.0,,3.0,15.0,27.0,,,96.0,147.0,,,1.0,44.0,,50.0,28.0,,136.0,,123.0,61.0,3.0,,8.0,,,2.0,16.0,146.0,3877.0,857.0,809.0,5950.0,1.0,,30.0,23.0,85.0,1.0,78.0,,199.0,3.0,11.0,18.0,2.0,,2.0,21.0,43.0,91.0,,,,16857.0
Franklin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,5.0,1.0,,2.0,,,,1.0,1.0,,,,,,,,1.0,,,,1.0,,,,,24.0
Freestone,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,8.0,3.0,,6.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,33.0
Frio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,14.0
